,Disability status,Eating 2 or more fruits daily,Frequent mental distress,Eating 3 or more vegetables daily,Taking medication for high blood pressure,Ever had pneumococcal vaccine,Obesity,Lifetime diagnosis of anxiety disorder,Cholesterol checked in past 5 years,No leisure time physical activity within past month,Current smoking,Lifetime diagnosis of depression,Influenza vaccine within past year,Diabetes screening within past 3 years,Binge drinking within past 30 days,High blood pressure ever,Increased confusion or memory loss (ICML) among older adults,Self-rated health (fair to poor health),Functional difficulties associated with increased confusion or memory loss (ICML) among older adults,Prevalence of sufficient sleep (>6 hours),Self-rated health (good to excellent health)
kentucky no_data,38.5,21.7,27.6,21.3,85.9,34.1,29.7,36.3,85.3,23.9,23.7,36.5,62.6,13.5,56.3,,10.2,28.2,,16.1,83.9
maine no_data,32.0,41.6,13.5,12.3,67.9,30.0,29.7,26.9,83.2,20.3,20.1,35.6,,15.8,62.0,25.8,9.0,30.3,,78.9,
maryland no_data,27.0,40.1,19.2,9.9,80.1,32.5,31.9,88.7,,34.7,,39.3,62.6,10.9,54.6,15.0,8.0,48.8,28.6,80.1,55.1
"united states, dc & territories female",44.0,13.9,19.4,81.4,27.3,32.9,,84.3,,24.6,18.7,39.9,,15.1,58.6,9.6,9.8,50.3,41.9,86.3,62.8
"united states, dc & territories male",31.4,26.9,16.5,75.2,34.9,30.5,36.8,91.0,,22.9,32.9,43.3,,13.9,63.1,16.3,10.7,28.0,,73.7,61.5
"united states, dc & territories asian/pacific islander",46.3,14.8,11.8,88.7,14.3,36.1,26.2,86.1,26.2,22.9,24.7,34.3,,15.3,72.1,21.6,26.2,51.9,,61.9,52.1
"united states, dc & territories black, non-hispanic",38.5,29.5,9.3,81.4,31.0,32.1,,77.9,26.7,22.6,25.0,34.3,60.4,15.5,72.7,29.4,9.2,49.2,15.6,67.1,45.2
"united states, dc & territories hispanic",42.2,13.5,17.3,73.0,30.6,37.0,31.2,81.9,18.6,25.1,,43.4,60.3,9.8,63.5,21.1,,99.7,13.1,83.2,35.1
"united states, dc & territories native am/alaskan native",33.0,23.4,14.8,71.7,25.4,20.3,33.6,87.9,32.2,9.4,,27.4,64.5,21.4,66.2,25.8,,47.9,32.9,67.8,60.0
"united states, dc & territories white, non-hispanic",37.0,17.2,23.0,78.0,45.7,29.7,11.9,86.5,35.0,30.8,21.6,36.2,62.1,13.7,66.8,20.0,,,21.9,82.0,
alabama no_data,25.1,21.4,13.4,80.9,29.4,27.1,44.2,82.2,26.8,16.4,24.3,61.6,59.7,,58.0,18.3,,,16.8,78.5,62.1
alaska no_data,41.5,19.1,21.1,71.4,35.7,34.5,35.9,84.5,24.5,34.3,39.0,63.7,10.7,,70.7,25.4,,,32.2,69.7,
arizona no_data,39.0,23.2,10.8,70.6,32.0,32.9,36.2,78.8,35.9,24.0,32.0,57.8,21.2,,66.2,16.5,,,17.2,79.0,
arkansas no_data,29.1,28.1,15.4,81.2,31.0,25.5,30.8,87.0,20.6,29.7,40.5,71.0,6.0,64.8,18.5,19.9,,,18.0,86.6,
california no_data,48.2,16.0,18.2,73.7,38.3,36.4,36.8,85.7,23.2,28.0,30.6,59.6,13.3,61.4,12.9,16.9,,,21.5,87.9,
colorado no_data,40.0,31.5,11.0,72.0,26.6,33.8,25.7,90.1,37.8,22.2,32.6,18.8,15.0,71.3,,14.9,,,21.1,84.4,
connecticut no_data,50.3,23.7,8.7,72.4,27.3,24.2,29.6,90.7,17.7,33.7,30.2,62.4,15.7,42.9,33.7,23.2,,,19.9,78.1,
delaware no_data,37.0,24.6,10.4,73.1,22.7,34.7,30.4,89.2,18.2,16.0,36.8,62.5,16.8,62.1,17.8,21.2,,,13.7,75.5,
district of columbia no_data,52.4,20.1,15.4,81.6,23.0,22.9,34.9,84.4,23.7,17.1,32.3,,10.9,53.8,15.4,20.5,,,26.3,77.4,
florida no_data,39.3,30.3,17.6,80.5,32.5,28.8,34.8,86.2,26.0,19.6,32.4,57.2,17.9,66.4,14.9,9.5,11.0,,38.1,78.1,
georgia no_data,33.3,19.7,15.1,77.6,28.1,31.8,21.6,77.8,25.8,23.2,33.8,60.7,14.0,47.9,,16.6,,,24.5,82.9,
guam no_data,35.0,18.0,14.8,77.1,28.3,25.1,26.3,83.8,28.7,28.7,34.4,,9.5,61.6,,26.4,8.5,21.0,22.6,79.6,
hawaii no_data,36.9,19.9,11.8,83.5,27.0,31.8,34.8,79.9,29.6,27.5,34.1,,16.1,63.8,,18.8,,28.6,21.9,80.3,
idaho no_data,31.3,24.4,16.2,69.8,21.8,30.5,31.9,88.4,39.0,23.9,39.9,,15.3,58.6,,23.2,,,17.1,80.1,
illinois no_data,44.4,17.2,12.3,79.3,34.9,34.9,35.6,85.4,23.6,38.3,38.1,65.9,14.0,66.8,,16.4,,,20.4,86.9,
indiana no_data,37.0,23.7,14.4,80.7,26.0,41.2,35.1,87.2,20.2,17.8,41.6,,16.4,69.2,,19.6,,,19.7,82.8,
iowa no_data,33.5,21.6,9.4,77.1,30.6,31.7,35.7,85.1,24.9,22.9,34.6,,15.5,70.6,,24.8,,,19.9,71.8,
kansas no_data,30.3,14.1,11.1,79.3,22.7,33.0,34.6,84.8,31.5,26.8,34.0,,20.5,60.5,,23.0,,,26.5,73.5,
louisiana no_data,25.6,17.6,17.9,79.3,26.8,34.6,41.7,85.1,29.2,28.2,23.6,,15.2,60.9,,25.5,,,16.0,84.0,
massachusetts no_data,27.1,15.9,17.2,86.5,25.2,38.3,32.8,89.4,29.7,23.3,42.6,,15.6,63.2,,16.3,,,14.5,85.5,
michigan no_data,45.3,10.9,15.3,75.9,33.7,33.2,32.5,88.2,30.1,26.0,27.5,63.7,20.6,57.0,,18.2,,,14.2,85.8,
midwest no_data,36.2,22.7,12.0,84.2,29.6,30.7,26.9,93.2,35.7,32.2,35.1,,13.2,73.5,,23.8,9.3,,19.2,80.8,65.3
minnesota no_data,48.7,16.0,13.9,80.3,23.7,29.6,34.2,88.7,24.5,27.1,34.9,,18.3,70.9,,21.2,,,18.5,81.5,65.3
mississippi no_data,39.6,21.6,15.5,75.1,37.0,25.6,34.2,86.8,27.1,23.3,41.3,,16.6,64.9,,17.8,,,12.8,87.2,
missouri no_data,37.3,20.7,12.8,77.8,34.2,29.4,27.4,86.9,20.8,22.4,38.7,,22.5,65.8,,26.1,,51.3,30.0,70.0,
montana no_data,37.7,19.1,11.1,75.1,34.5,23.1,42.7,83.0,25.8,17.1,43.2,,14.2,63.9,,23.5,,13.4,20.2,79.8,
nebraska no_data,22.8,14.3,17.3,84.9,25.0,31.9,38.8,86.0,27.2,27.0,39.4,,12.7,68.3,,23.5,,,20.3,79.7,
nevada no_data,28.6,15.3,12.7,82.4,24.5,28.1,31.0,79.0,18.0,26.7,37.4,,17.8,63.5,,19.9,,,15.3,84.7,
new hampshire no_data,37.2,13.3,15.9,70.3,24.4,34.0,32.1,83.8,34.4,21.0,40.6,,16.6,53.4,,17.9,8.9,,18.8,81.2,
new jersey no_data,34.9,20.1,8.9,79.1,23.3,30.3,25.6,79.2,30.7,30.2,44.6,,14.1,52.0,,18.9,,,14.3,85.7,
new mexico no_data,42.5,17.4,12.2,70.6,32.4,27.7,27.5,91.6,27.1,31.9,33.7,,16.5,65.9,,13.9,,,16.6,83.4,
new york no_data,50.9,22.3,11.2,76.6,29.8,29.8,26.6,91.1,27.1,27.1,35.6,,18.7,64.8,,21.8,,,24.8,75.2,
north carolina no_data,46.2,30.3,13.9,72.7,25.4,38.1,30.6,79.8,26.7,21.1,42.0,57.3,19.6,69.5,16.5,19.2,,,20.1,79.9,
north dakota no_data,37.6,18.4,13.9,73.1,26.4,27.7,31.1,89.6,19.6,29.1,34.1,51.9,13.1,61.0,,21.0,,,21.9,78.1,
northeast no_data,42.6,23.5,15.4,84.9,27.6,33.2,34.3,87.4,25.7,19.9,31.7,,18.5,65.0,15.1,18.2,8.9,,15.2,84.8,
ohio no_data,29.1,22.1,13.7,82.7,32.8,31.9,33.7,82.6,24.6,18.8,30.9,,18.5,72.3,,19.5,,,17.1,82.9,
oklahoma no_data,34.6,15.8,9.4,71.6,34.6,31.7,29.6,89.9,24.7,24.3,40.9,53.8,19.4,48.3,,22.2,,,20.7,79.3,
oregon no_data,44.8,12.2,14.4,79.6,29.4,34.9,35.3,86.5,29.3,23.7,25.8,,18.9,61.4,,27.4,,,24.0,76.0,
pennsylvania no_data,32.4,21.1,13.7,79.5,29.6,39.2,32.4,81.6,28.4,26.6,36.4,,16.0,68.6,16.5,28.5,,45.6,20.4,79.6,
puerto rico no_data,23.4,19.2,17.1,79.1,30.2,25.6,31.9,83.8,24.4,23.5,33.3,66.3,14.5,67.0,,23.7,,12.1,16.0,84.0,
rhode island no_data,42.0,17.1,11.0,76.0,27.1,16.7,31.8,87.3,31.1,,35.2,60.5,13.2,65.3,,25.2,,,46.9,53.1,
south no_data,42.5,26.6,15.4,78.5,30.4,28.3,28.5,85.5,32.0,29.2,37.3,61.8,16.0,68.8,,26.2,10.0,,22.1,77.9,52.2
south carolina no_data,24.3,18.9,17.4,75.9,33.8,32.9,28.4,94.0,24.7,32.3,43.0,,13.2,66.6,,18.6,13.8,,23.1,76.9,
south dakota no_data,46.1,10.7,17.9,79.9,21.1,30.1,35.9,85.6,25.5,24.3,39.8,,19.7,66.3,,20.3,,,23.7,76.3,
tennessee no_data,31.7,21.1,15.5,80.8,38.9,28.4,35.6,86.1,54.0,28.6,37.0,,15.6,63.8,,22.0,7.1,,16.0,84.0,52.2
texas no_data,27.5,18.3,15.7,84.8,28.4,38.4,35.9,83.1,27.0,17.9,36.9,65.5,19.0,59.6,,22.3,,,25.9,74.1,
"united states, dc & territories no_data",42.5,14.1,8.7,77.8,29.2,36.8,38.8,87.3,29.8,25.5,38.4,,14.5,67.5,,20.6,9.6,49.8,20.7,79.3,58.9
utah no_data,16.6,13.5,18.9,79.8,27.6,32.2,35.8,83.7,27.6,25.7,32.2,,13.2,66.3,,23.9,,50.6,20.5,79.5,
vermont no_data,34.1,14.9,13.2,79.9,29.7,27.3,32.4,86.5,27.5,25.6,34.5,,15.7,62.8,,25.4,,,16.9,83.1,
virginia no_data,38.0,22.1,14.3,78.3,25.4,32.4,26.2,84.7,43.2,21.0,15.1,68.3,13.1,61.7,,16.9,,,16.0,84.0,
washington no_data,45.5,20.9,12.6,69.6,31.5,40.2,29.5,88.3,24.6,24.7,41.7,,15.2,66.7,15.7,20.7,,,16.7,83.3,
west no_data,47.9,22.0,14.3,70.6,28.1,38.5,37.7,91.0,26.4,21.3,36.3,,14.2,66.7,,19.0,11.0,49.5,19.1,80.9,62.1
west virginia no_data,36.7,23.3,11.0,77.5,40.5,33.8,29.1,83.1,20.0,23.8,40.6,64.8,12.0,48.2,15.1,26.9,9.5,,20.0,80.0,
wisconsin no_data,39.9,21.2,12.3,65.3,31.0,34.2,27.5,85.1,20.6,13.2,47.2,67.9,19.2,61.6,,22.3,11.2,,29.3,70.7,
wyoming no_data,44.0,22.4,13.3,72.4,29.7,35.6,37.6,86.7,28.3,20.2,39.9,,5.3,58.6,,23.9,,,17.6,82.4,
