,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,Frequent mental distress,Taking medication for high blood pressure,Disability status,Obesity,Ever had pneumococcal vaccine,Cholesterol checked in past 5 years,No leisure time physical activity within past month,Current smoking,Lifetime diagnosis of depression,Influenza vaccine within past year,Diabetes screening within past 3 years,Binge drinking within past 30 days,High blood pressure ever,Lifetime diagnosis of anxiety disorder,Increased confusion or memory loss (ICML) among older adults,Functional difficulties associated with increased confusion or memory loss (ICML) among older adults,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
"united states, dc & territories female",52.6,21.9,19.8,94.1,42.5,25.6,66.5,95.1,36.3,8.3,12.3,54.5,61.9,3.2,43.9,,10.1,26.7,,72.1,72.9
"united states, dc & territories male",40.1,14.2,8.1,93.5,37.7,71.0,25.2,94.5,29.3,9.7,60.6,69.7,2.4,36.8,10.6,15.1,11.6,19.7,27.9,71.5,79.2
"united states, dc & territories asian/pacific islander",55.1,34.5,6.6,93.4,28.6,66.4,25.3,93.1,21.8,3.1,59.6,70.8,6.7,39.0,9.0,10.3,11.9,22.5,28.5,73.9,54.4
"united states, dc & territories black, non-hispanic",48.4,14.1,3.7,95.4,40.9,58.8,11.0,94.3,35.9,11.6,59.9,55.5,3.6,40.1,1.5,5.7,12.9,33.8,26.1,61.9,70.7
"united states, dc & territories hispanic",44.7,20.3,8.7,93.8,36.5,56.7,35.7,89.9,40.0,7.0,49.3,68.5,3.4,22.4,4.7,10.9,11.0,8.3,38.1,52.3,77.3
"united states, dc & territories native am/alaskan native",41.6,14.4,12.6,94.2,55.9,52.3,28.5,95.6,38.9,15.8,52.5,67.7,5.0,38.3,10.5,16.6,7.0,3.8,47.7,60.1,66.7
"united states, dc & territories white, non-hispanic",47.4,18.4,14.5,93.8,40.7,64.8,35.2,95.4,32.6,8.8,57.1,70.2,4.6,38.6,7.6,16.8,10.4,22.1,39.9,75.1,75.9
alabama no_data,34.4,16.0,6.8,94.2,45.5,72.3,24.1,95.7,39.8,10.2,62.2,70.7,4.3,39.1,10.0,13.0,,,24.9,64.1,
alaska no_data,48.3,22.9,8.5,88.5,46.4,68.3,27.1,92.6,27.4,12.4,62.6,,3.3,31.7,,15.6,,,35.9,69.6,71.2
arizona no_data,49.8,20.4,6.5,92.4,42.6,66.2,29.3,93.7,26.1,9.0,51.8,64.2,7.5,37.8,,19.2,,26.8,30.4,76.7,
arkansas no_data,39.4,15.4,8.3,94.1,43.4,71.9,22.6,93.6,40.9,11.6,58.8,70.2,4.2,44.1,,15.4,,,23.3,64.8,
california no_data,55.8,29.6,7.1,92.8,41.8,68.5,26.1,94.4,23.5,6.9,57.3,,2.2,34.4,,13.0,,,35.2,74.6,
colorado no_data,51.3,21.0,8.2,91.3,41.1,68.1,21.2,94.9,22.4,8.8,57.2,,4.9,38.2,,10.0,,,25.4,78.7,
connecticut no_data,55.3,19.2,6.2,94.0,38.4,75.8,20.2,95.7,34.3,8.5,65.9,,3.9,44.1,,14.7,,,21.3,74.4,
delaware no_data,40.9,15.3,7.1,95.2,34.7,71.0,23.7,96.3,35.2,8.9,60.2,68.3,3.4,39.9,,13.0,,,25.6,76.3,
district of columbia no_data,59.0,25.2,6.2,94.7,45.1,69.2,28.9,94.9,30.4,11.0,63.4,,5.8,35.2,,8.8,,,23.7,72.3,
florida no_data,50.4,20.1,7.0,93.9,40.9,63.3,26.3,96.7,33.4,7.9,56.7,,5.4,35.6,,12.9,,,27.7,71.7,
georgia no_data,40.5,15.8,8.7,95.6,41.6,69.8,23.4,94.2,36.4,10.8,57.6,,5.3,37.1,,13.7,,,28.3,67.0,
guam no_data,46.8,19.2,9.2,86.6,33.1,66.5,25.4,81.2,39.0,15.1,55.2,,2.8,34.3,,12.2,,,33.0,72.3,
hawaii no_data,43.8,29.7,5.9,94.3,35.4,39.4,17.7,93.2,25.7,6.6,39.2,,5.0,48.6,,7.6,10.5,,27.7,76.9,
idaho no_data,47.9,20.9,4.2,91.1,42.1,67.7,16.9,93.4,31.7,8.4,64.7,64.8,5.8,42.7,,7.1,,27.1,23.1,76.5,
illinois no_data,49.2,16.9,5.7,92.6,40.0,68.0,24.3,93.2,35.7,7.6,56.3,,4.9,40.8,,13.8,11.9,,23.5,71.3,
indiana no_data,44.6,15.2,8.2,95.4,39.8,62.5,29.1,94.5,38.1,11.5,54.7,,5.4,37.2,,13.3,,24.2,28.7,71.2,
iowa no_data,51.1,14.9,6.7,93.6,38.6,70.4,26.6,94.2,33.4,7.1,60.6,,3.5,34.8,,15.2,,,28.8,77.4,
