,Disability status,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,Frequent mental distress,Fall with injury within last year,Oral health:  tooth retention,Ever had pneumococcal vaccine,Lifetime diagnosis of depression,Obesity,Colorectal cancer screening,No leisure time physical activity within past month,Influenza vaccine within past year,Current smoking,Diabetes screening within past 3 years,Binge drinking within past 30 days,Self-rated health (fair to poor health),Prevalence of sufficient sleep (>6 hours),Self-rated health (good to excellent health)
montana no_data,30.6,,,14.7,9.1,82.6,33.5,26.7,37.3,47.6,18.7,19.2,29.6,64.0,13.0,20.5,,70.7
nebraska no_data,22.2,,,10.7,13.0,82.3,29.2,22.0,25.1,54.0,34.3,24.2,34.1,62.4,16.3,21.2,,85.6
nevada no_data,22.1,45.6,26.3,13.3,11.3,91.4,32.3,32.1,50.2,39.2,22.0,21.0,36.0,59.7,15.4,14.5,79.5,85.3
virginia no_data,26.7,,,19.1,8.5,72.6,36.1,33.4,44.8,21.4,22.6,16.9,32.0,63.2,7.3,27.4,78.8,60.6
new mexico no_data,25.9,,,14.3,6.6,85.3,25.0,17.4,47.5,25.7,24.2,29.1,41.7,62.5,12.7,36.2,85.5,59.8
new york no_data,26.1,,,13.5,16.9,62.8,39.9,43.5,48.8,24.0,33.9,34.7,36.2,59.3,15.0,39.3,72.6,49.1
"united states, dc & territories female",38.2,24.3,13.5,12.2,23.4,83.6,31.3,38.0,23.3,27.8,20.3,26.0,34.6,58.5,8.3,16.6,63.8,78.8
"united states, dc & territories male",29.4,13.7,16.1,8.4,26.4,69.8,28.9,42.9,37.0,30.7,23.8,18.7,41.6,59.5,17.9,33.6,60.7,57.3
"united states, dc & territories asian/pacific islander",62.4,38.0,11.6,4.0,25.9,80.8,32.1,30.6,41.9,32.6,8.4,16.5,30.5,60.0,12.7,19.0,84.0,66.4
"united states, dc & territories black, non-hispanic",31.6,16.9,8.9,11.2,13.0,80.6,32.2,40.1,49.4,31.5,27.9,10.8,30.4,64.7,14.9,25.3,83.4,61.7
"united states, dc & territories hispanic",47.3,24.7,15.3,9.1,32.4,68.5,24.9,33.5,45.9,22.1,16.3,15.3,19.5,63.6,14.0,27.2,66.4,
"united states, dc & territories native am/alaskan native",34.0,9.5,15.4,18.7,23.1,88.7,34.1,26.7,39.0,33.1,37.7,20.0,15.8,,8.4,20.5,81.0,60.4
"united states, dc & territories white, non-hispanic",30.5,17.6,23.7,10.3,43.9,86.5,33.5,40.7,37.2,20.4,22.4,37.7,63.2,25.1,24.1,16.5,74.7,
alabama no_data,,,13.2,13.5,25.7,86.9,38.8,31.8,38.6,26.0,29.9,30.4,63.2,18.4,13.2,14.6,72.8,
alaska no_data,,,20.7,17.0,39.8,83.6,40.0,26.3,48.2,40.5,25.8,41.5,49.3,10.7,18.5,19.6,79.5,
arizona no_data,40.4,18.5,9.6,13.4,26.8,82.9,23.3,31.9,49.7,17.3,21.5,31.7,68.8,19.7,26.0,12.9,83.5,
arkansas no_data,,,14.4,14.3,28.2,82.7,28.3,31.1,55.2,14.8,19.3,26.9,63.3,6.0,25.1,23.8,85.4,
california no_data,48.0,30.0,20.6,10.6,37.9,76.9,33.4,30.8,53.7,21.3,30.2,35.7,66.5,11.4,15.0,20.9,80.4,
colorado no_data,,,10.9,13.4,26.9,76.6,19.1,31.3,48.8,24.5,14.2,35.7,62.7,13.8,6.7,23.4,87.1,
connecticut no_data,,,10.0,11.7,26.7,90.4,31.2,37.3,44.3,21.1,20.0,37.7,62.8,10.4,19.9,17.0,76.2,
delaware no_data,33.9,14.1,12.7,9.3,22.4,90.8,30.3,33.6,52.2,28.6,19.0,30.3,60.8,16.3,16.8,14.3,79.1,
district of columbia no_data,,,17.5,10.1,24.3,83.9,26.2,28.7,31.6,25.3,19.2,31.4,,11.4,31.3,19.3,76.6,
florida no_data,,,17.4,9.2,27.9,75.8,29.9,33.6,49.0,33.5,31.0,39.3,63.1,17.0,21.2,25.4,83.0,
georgia no_data,27.7,18.6,17.7,10.4,27.2,86.1,33.4,30.7,39.9,19.7,21.2,35.0,,10.7,19.4,15.4,85.7,
guam no_data,,,10.4,3.5,17.3,84.9,29.8,37.1,45.9,18.6,23.9,39.5,,13.6,15.7,16.0,80.7,
hawaii no_data,,,12.1,6.7,20.8,75.8,35.5,34.4,44.4,21.8,27.8,41.2,63.8,14.8,24.9,26.6,74.6,64.6
idaho no_data,,,11.8,13.3,25.8,63.1,34.3,36.5,50.0,30.6,17.5,38.4,73.4,16.0,18.1,29.1,84.6,
illinois no_data,,,10.5,8.1,25.0,80.5,32.2,35.6,46.4,22.5,15.9,35.5,,19.3,21.0,17.7,,
indiana no_data,,,16.8,13.5,30.6,85.3,25.6,39.4,48.1,23.8,25.0,23.6,,15.2,15.9,15.3,73.4,
iowa no_data,,,10.9,10.7,21.6,85.8,34.0,31.5,41.7,31.2,29.7,38.6,59.6,14.8,22.6,13.8,70.9,
kansas no_data,,,11.4,9.4,24.0,83.3,30.7,34.2,55.3,34.9,18.7,31.8,43.8,16.0,25.8,19.0,82.3,
kentucky no_data,,,18.6,14.1,33.4,82.8,30.7,26.9,51.2,19.1,20.4,32.2,60.4,11.7,20.7,18.7,84.7,
louisiana no_data,,,16.0,9.5,30.1,92.2,26.0,34.1,61.4,22.7,29.4,33.2,,17.6,18.5,9.7,86.2,64.6
maine no_data,,,14.1,10.6,26.2,68.4,25.4,34.0,51.6,21.7,28.3,43.9,,13.5,23.0,28.9,81.0,
maryland no_data,37.1,16.8,11.3,8.0,20.3,79.4,34.8,27.6,48.2,25.8,22.9,39.3,,14.3,25.2,23.3,81.3,
massachusetts no_data,,,13.7,11.7,22.5,80.7,36.2,36.0,53.7,24.1,19.3,38.2,66.0,18.7,25.6,19.3,90.3,
michigan no_data,,,14.3,8.5,26.3,86.0,26.5,34.5,39.6,17.7,16.7,33.1,54.8,13.3,19.4,16.8,71.1,
midwest no_data,29.9,14.1,12.8,10.1,24.7,86.7,23.0,27.8,46.6,35.2,27.1,36.4,67.9,17.6,18.7,25.0,76.7,
minnesota no_data,,,9.2,9.7,18.4,82.9,33.7,34.2,33.3,27.7,25.3,40.2,,13.6,21.8,18.2,80.7,60.8
mississippi no_data,,,16.3,11.1,33.0,83.5,23.4,30.3,46.6,20.1,21.6,43.6,64.3,13.9,16.1,15.7,83.2,
missouri no_data,,,13.4,13.4,28.5,85.0,36.4,32.6,41.0,21.8,33.2,32.9,,15.4,21.8,25.0,75.0,
new hampshire no_data,,,12.9,12.9,23.8,82.1,27.3,26.2,58.8,23.0,28.2,34.7,,15.2,15.3,16.9,81.8,
new jersey no_data,,,10.9,10.2,18.4,77.4,34.5,31.6,47.0,19.9,25.9,39.5,60.8,14.8,21.6,22.2,84.3,
north carolina no_data,,,14.1,13.2,27.2,83.4,21.8,25.4,41.0,23.9,21.9,29.2,61.2,14.0,15.2,12.8,75.0,
north dakota no_data,,,11.5,10.8,17.5,83.7,30.8,32.5,55.4,19.2,19.9,37.4,50.5,20.4,18.2,16.6,83.1,
northeast no_data,,,13.3,9.2,24.0,81.5,35.1,34.3,50.1,24.3,17.2,31.7,59.8,18.3,22.5,20.7,77.8,
ohio no_data,,,14.0,14.3,25.1,76.1,37.0,28.7,39.6,28.7,18.8,40.4,,23.2,27.1,24.7,87.2,
oklahoma no_data,,,12.1,7.4,35.1,80.3,43.3,36.8,53.3,23.1,16.9,26.2,,13.6,29.5,22.7,83.4,62.7
oregon no_data,,,14.3,9.8,30.8,84.0,35.7,35.5,47.0,22.6,21.1,36.6,,14.0,19.5,18.8,79.3,
pennsylvania no_data,,,7.2,8.3,24.9,82.1,13.8,29.4,41.0,25.1,24.5,29.9,,18.1,24.6,46.3,75.3,54.8
puerto rico no_data,,,12.7,9.7,26.0,88.1,35.9,34.3,47.4,30.4,23.9,35.0,,20.4,21.7,18.9,77.3,
rhode island no_data,29.9,14.1,14.2,12.1,22.9,78.8,31.6,36.6,49.6,18.6,20.2,30.4,62.8,13.6,21.0,23.8,81.2,
south no_data,,,15.3,13.2,28.0,75.6,29.6,27.8,37.5,21.0,25.2,40.8,62.8,15.1,22.1,23.6,53.7,
south carolina no_data,,,19.5,5.6,27.7,81.5,30.8,35.0,54.3,45.3,26.0,37.5,68.2,16.0,18.4,11.7,81.1,
south dakota no_data,,,13.2,11.0,21.7,69.6,34.2,40.4,45.3,23.5,22.4,34.8,65.6,13.8,27.9,26.0,76.2,
tennessee no_data,,,16.1,11.2,32.7,86.5,32.5,31.4,47.0,29.6,22.1,33.3,,17.6,18.4,23.3,76.4,
texas no_data,,,14.3,11.9,22.8,82.4,31.4,38.3,41.2,26.9,14.4,40.6,66.4,10.0,20.2,20.8,88.3,60.2
