,Disability status,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,Frequent mental distress,Fall with injury within last year,Oral health:  tooth retention,Ever had pneumococcal vaccine,Obesity,Colorectal cancer screening,No leisure time physical activity within past month,Influenza vaccine within past year,Binge drinking within past 30 days,Current smoking,Diabetes screening within past 3 years,Lifetime diagnosis of depression,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
alaska no_data,31.1,,,8.1,9.9,74.1,50.4,32.5,71.3,28.6,46.0,19.9,42.4,,23.7,37.0,75.6,
arizona no_data,35.9,33.7,20.7,15.8,11.8,70.6,45.3,34.2,71.3,26.3,11.0,16.1,69.8,6.4,17.1,24.4,73.6,67.4
arkansas no_data,39.3,,,13.3,8.4,79.7,53.4,16.0,76.4,17.1,13.9,47.3,70.9,12.7,11.6,26.4,78.7,64.9
texas no_data,36.7,,,11.9,8.6,55.4,45.4,42.5,72.1,20.6,18.1,44.3,57.6,5.0,17.7,21.3,64.8,42.9
"united states, dc & territories no_data",33.6,,,10.0,9.6,71.2,38.8,36.0,57.8,35.0,9.2,46.6,75.1,8.8,20.0,35.2,52.5,68.6
utah no_data,34.6,,,9.3,10.1,51.4,54.0,32.0,63.1,36.7,20.9,42.8,73.2,6.7,22.3,47.5,58.6,60.3
vermont no_data,27.6,46.3,29.8,11.5,10.2,75.3,49.0,32.4,72.8,40.3,10.9,41.1,65.3,8.8,21.3,41.4,79.3,40.4
virginia no_data,34.7,,,11.5,10.8,59.5,44.7,41.7,72.0,25.1,33.3,38.0,69.8,8.3,25.9,20.7,66.0,71.6
indiana no_data,30.8,,,11.8,8.4,74.5,52.6,35.9,61.2,34.9,15.9,38.9,63.5,10.2,20.9,34.0,76.9,
iowa no_data,27.1,,,19.0,12.2,77.3,41.5,29.0,63.7,19.7,19.7,47.7,67.6,7.2,23.6,23.1,74.5,70.0
"united states, dc & territories female",38.4,25.2,31.8,6.8,11.0,64.0,49.2,37.4,64.7,23.8,15.1,47.2,,9.8,24.0,25.5,66.7,
"united states, dc & territories male",28.3,15.5,39.3,10.1,8.5,81.5,48.5,30.8,75.9,34.9,17.9,36.4,67.8,12.3,15.2,33.3,73.1,
"united states, dc & territories asian/pacific islander",36.6,57.0,13.3,36.1,5.4,80.2,50.0,23.0,69.3,23.6,22.9,37.2,,6.0,19.1,26.9,81.8,
"united states, dc & territories black, non-hispanic",26.2,11.3,10.2,33.7,12.6,79.6,49.9,30.6,81.7,18.2,9.1,44.4,,9.8,21.2,18.2,84.8,
"united states, dc & territories hispanic",45.7,33.1,6.6,12.3,33.0,73.0,53.7,34.6,81.0,25.1,15.4,44.5,73.5,8.6,20.1,15.2,80.2,
"united states, dc & territories native am/alaskan native",31.4,25.8,14.3,7.8,34.2,78.0,42.3,32.8,80.8,25.9,12.2,50.4,75.1,12.5,17.4,19.8,80.8,
"united states, dc & territories white, non-hispanic",33.4,19.5,13.9,2.7,25.5,71.6,41.8,29.5,72.9,23.2,13.8,49.9,,11.2,19.7,19.2,75.3,
alabama no_data,,,17.9,9.5,39.3,65.7,51.3,34.8,73.1,26.3,21.0,51.0,,10.1,17.3,24.7,74.9,
california no_data,,,11.1,11.9,32.5,72.3,22.7,26.5,41.7,28.9,15.9,53.3,68.1,9.1,11.3,25.1,63.0,
colorado no_data,38.7,19.7,16.8,14.7,46.3,84.2,41.9,26.4,70.2,32.2,17.1,37.2,64.5,8.4,12.3,17.7,82.3,
connecticut no_data,,,8.6,10.1,32.8,74.8,44.2,31.3,64.1,27.5,18.2,44.0,68.6,16.0,22.2,22.1,77.9,
delaware no_data,50.6,35.7,11.4,12.9,40.3,72.9,42.4,37.6,68.6,27.8,14.6,35.6,,13.2,20.2,17.6,82.4,
district of columbia no_data,,,12.7,17.1,33.5,70.1,48.3,36.5,65.2,31.0,13.2,50.1,,11.7,23.5,26.4,73.6,
florida no_data,,,12.0,11.5,30.2,74.7,48.9,39.0,72.1,27.8,16.1,40.2,,9.2,17.6,18.9,81.1,
georgia no_data,28.9,14.1,9.4,10.5,31.4,77.1,49.0,34.7,71.1,24.1,20.8,47.6,72.5,13.2,17.8,20.3,79.7,
guam no_data,,,9.8,11.2,28.4,62.0,51.1,35.4,72.1,37.3,16.5,56.0,70.3,8.9,26.5,33.4,66.6,73.7
