,Disability status,Frequent mental distress,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,Taking medication for high blood pressure,Ever had pneumococcal vaccine,Obesity,Cholesterol checked in past 5 years,Lifetime diagnosis of depression,Colorectal cancer screening,No leisure time physical activity within past month,Current smoking,Influenza vaccine within past year,Diabetes screening within past 3 years,Binge drinking within past 30 days,High blood pressure ever,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
illinois no_data,20.4,31.0,20.9,14.1,77.1,36.0,31.8,89.3,23.5,51.3,22.9,18.5,38.8,69.4,14.6,56.6,22.5,77.5,58.2
midwest no_data,13.3,36.2,20.5,12.8,67.1,30.3,35.0,85.6,24.1,47.0,22.5,21.9,49.5,80.8,15.5,66.4,20.6,79.4,60.5
kansas no_data,25.1,40.9,19.8,13.7,68.8,25.0,11.3,89.3,21.7,,32.0,14.5,42.6,,11.6,64.9,18.3,81.7,59.8
kentucky no_data,35.8,45.3,26.8,11.9,83.6,39.7,47.3,88.3,27.9,,26.7,17.3,33.4,64.4,11.9,61.6,29.3,70.7,59.7
indiana no_data,26.9,39.7,18.3,11.4,63.0,26.4,33.8,81.1,17.8,,24.5,22.5,36.3,63.7,15.4,54.1,35.7,64.3,49.8
iowa no_data,23.9,39.1,22.6,14.4,68.9,35.5,37.1,85.7,50.5,27.8,26.1,17.2,39.4,61.9,12.8,63.4,31.0,69.0,59.0
louisiana no_data,31.3,44.7,27.4,21.0,76.2,32.8,31.8,88.8,47.7,28.1,23.0,18.2,45.2,64.6,14.7,65.2,17.1,82.9,53.5
maine no_data,30.2,23.9,12.6,15.1,74.7,41.8,43.6,90.8,44.1,22.8,24.3,31.4,36.2,,12.4,48.8,32.8,67.2,62.6
maryland no_data,21.3,34.9,15.0,11.6,71.3,36.7,31.8,83.8,53.8,33.7,19.6,23.4,43.7,64.4,15.8,63.4,16.4,83.6,55.8
south carolina no_data,29.0,34.2,18.7,80.0,19.5,28.6,31.3,78.1,39.7,35.7,24.3,20.8,37.2,,19.6,57.4,23.5,76.5,62.3
"united states, dc & territories female",42.0,26.1,15.7,74.5,27.2,28.0,39.4,84.5,32.1,32.1,13.8,22.7,41.6,,5.8,57.0,30.2,69.8,71.7
"united states, dc & territories male",29.7,14.7,12.4,80.5,27.4,34.4,27.9,85.8,50.7,25.4,26.4,23.4,37.5,67.9,13.3,68.6,25.0,75.0,63.3
"united states, dc & territories asian/pacific islander",45.1,31.3,10.6,84.3,25.0,30.7,24.0,87.8,49.3,33.4,15.3,39.4,33.4,59.5,15.0,54.2,15.0,85.0,60.4
"united states, dc & territories black, non-hispanic",37.7,15.5,17.9,72.0,16.8,31.1,27.4,92.3,,20.4,35.7,33.1,25.9,60.9,11.4,57.8,16.1,83.9,69.4
"united states, dc & territories hispanic",42.4,22.9,15.4,79.9,32.0,34.3,38.9,92.0,42.3,28.6,22.2,47.0,18.9,67.3,12.3,62.0,19.7,80.3,61.9
"united states, dc & territories native am/alaskan native",33.8,16.7,17.9,75.7,22.2,39.2,30.3,88.4,,40.7,26.8,33.6,23.0,61.9,12.6,69.7,21.7,78.3,58.6
"united states, dc & territories white, non-hispanic",34.2,20.2,22.2,88.0,43.3,28.1,31.2,87.1,,21.3,22.5,32.4,65.1,,14.3,67.0,23.1,76.9,59.8
alabama no_data,23.4,17.9,12.9,65.7,25.5,28.2,34.6,87.8,,17.5,25.4,41.2,63.6,20.2,15.5,61.4,22.5,77.5,57.9
alaska no_data,39.1,31.7,20.8,67.1,40.6,25.8,30.9,73.9,,26.0,32.8,37.3,65.8,20.8,8.6,63.7,27.0,73.0,60.5
arizona no_data,31.9,22.9,9.6,81.2,28.9,25.6,27.5,85.9,55.3,32.5,21.3,39.7,71.2,24.2,22.5,65.8,16.3,83.7,50.3
arkansas no_data,22.2,16.9,12.6,70.2,33.4,40.1,37.7,81.3,,21.9,15.9,32.0,71.0,22.9,14.8,53.5,18.0,82.0,51.9
california no_data,51.2,30.9,19.7,67.6,34.0,31.0,38.8,87.6,44.8,28.1,19.9,30.1,65.6,11.0,21.2,63.3,19.7,80.3,63.7
colorado no_data,43.5,24.7,16.0,76.7,25.7,36.8,39.2,84.9,48.0,28.6,15.7,41.6,62.5,19.3,23.6,67.3,20.8,79.2,61.3
connecticut no_data,42.3,19.6,9.1,83.0,23.3,30.3,35.5,88.1,,39.8,23.9,37.5,66.3,8.1,64.7,30.1,17.0,83.0,68.2
delaware no_data,39.1,21.3,12.6,70.7,24.9,33.7,35.0,86.2,55.0,21.6,27.6,42.1,63.4,10.3,59.1,17.6,18.1,81.9,67.1
district of columbia no_data,42.8,21.5,11.7,78.0,23.9,35.4,37.3,82.6,,29.9,21.7,33.7,63.6,13.0,62.0,26.1,28.3,71.7,54.9
florida no_data,34.7,22.0,14.6,81.0,30.3,23.2,44.1,86.2,,27.9,21.8,43.5,60.0,14.7,42.5,15.4,28.8,71.2,54.7
georgia no_data,30.5,20.2,17.7,71.8,25.0,29.8,35.0,89.1,,34.6,27.4,35.9,,16.6,60.9,9.5,23.7,76.3,64.8
guam no_data,42.2,30.1,13.7,75.5,26.9,32.7,34.5,92.3,,31.5,15.1,24.9,,9.3,55.6,18.5,14.9,85.1,59.9
hawaii no_data,27.7,21.1,11.9,67.0,20.9,36.4,29.9,93.3,,26.5,18.8,27.3,64.7,15.7,65.8,19.2,14.7,85.3,60.9
idaho no_data,40.3,29.2,10.8,79.2,23.4,33.8,36.6,89.1,,33.1,19.2,28.4,73.4,12.3,50.2,28.9,21.9,78.1,57.2
massachusetts no_data,41.6,17.0,17.4,82.1,28.7,33.3,35.9,86.9,,43.1,25.9,42.0,61.0,10.3,63.6,21.8,19.7,80.3,60.8
michigan no_data,30.0,15.3,11.3,73.5,25.8,28.4,30.9,89.9,,25.1,25.2,31.1,60.8,17.2,66.5,27.4,12.2,87.8,67.1
minnesota no_data,31.8,14.3,13.4,79.8,20.0,36.1,47.1,82.9,,26.5,23.1,35.4,63.9,14.9,58.8,19.5,32.7,67.3,56.6
mississippi no_data,27.5,18.8,11.9,81.0,37.0,28.1,35.4,81.3,66.4,23.7,27.7,35.1,58.3,16.3,65.7,17.7,23.8,76.2,59.0
missouri no_data,25.4,15.1,11.3,77.4,36.1,33.1,28.4,83.1,52.9,22.1,33.4,18.6,64.3,12.3,71.2,11.7,21.8,78.2,66.9
montana no_data,20.1,14.4,17.2,76.4,27.4,28.0,33.9,84.4,51.5,28.4,26.6,47.9,56.1,15.8,65.6,15.4,16.3,83.7,65.7
nebraska no_data,40.3,21.2,12.3,82.8,21.2,24.4,28.8,81.7,,21.3,19.1,42.4,66.0,14.6,57.1,24.5,23.6,76.4,59.8
nevada no_data,36.0,19.2,11.2,73.8,28.1,35.2,34.1,89.5,,46.1,19.2,41.7,65.0,10.9,61.9,17.0,13.0,87.0,67.1
new hampshire no_data,44.7,21.3,13.9,78.5,22.9,28.8,31.6,89.9,,32.3,25.4,38.6,,11.5,61.1,19.0,17.6,82.4,56.1
new jersey no_data,39.3,16.9,14.5,77.8,19.7,31.7,32.2,79.5,,26.1,23.7,43.4,,18.8,54.8,22.3,25.3,74.7,61.8
new mexico no_data,34.8,16.2,9.2,75.0,28.8,31.6,30.2,91.5,44.3,27.1,18.7,42.2,64.7,10.0,61.2,20.9,20.4,79.6,54.9
new york no_data,39.8,15.6,20.6,84.9,25.7,32.5,35.0,87.0,38.7,29.2,33.1,46.0,25.8,25.7,67.0,14.0,22.4,77.6,62.6
north carolina no_data,24.6,11.3,17.5,79.5,26.5,37.5,34.2,85.3,56.1,24.3,29.4,32.5,68.1,12.9,65.6,25.6,14.2,85.8,67.8
north dakota no_data,27.7,16.9,14.7,70.0,19.9,33.0,31.2,90.9,,27.6,17.6,37.6,,19.5,66.4,17.9,18.3,81.7,57.5
northeast no_data,34.2,22.3,10.5,74.6,24.1,40.0,34.2,86.4,,26.2,23.2,41.1,,14.0,60.5,22.0,21.6,78.4,57.3
ohio no_data,35.8,17.5,13.9,70.3,27.5,31.4,39.7,84.1,,27.4,23.6,36.2,65.0,12.2,65.2,16.1,22.1,77.9,57.8
oklahoma no_data,39.9,31.8,11.7,74.8,32.1,42.6,31.2,83.5,,32.6,23.1,34.8,,14.9,64.4,19.9,22.9,77.1,60.5
oregon no_data,39.1,22.8,10.9,78.8,25.4,36.3,33.7,89.2,,28.9,18.7,37.0,63.2,17.1,54.6,22.8,19.0,81.0,56.9
pennsylvania no_data,39.1,20.7,18.0,66.3,24.9,15.4,30.3,84.7,63.9,26.5,20.0,41.7,56.9,11.7,49.6,30.0,47.4,52.6,56.8
puerto rico no_data,34.5,22.3,13.7,78.7,34.7,36.4,32.3,92.5,,32.7,25.9,28.0,66.1,15.5,63.0,27.6,15.2,84.8,56.6
rhode island no_data,42.7,24.2,14.0,82.1,21.2,33.6,35.6,87.8,,33.6,17.6,36.1,62.5,19.2,64.8,24.2,23.0,77.0,59.8
south no_data,26.4,16.7,7.8,77.5,27.3,25.8,36.3,87.7,,21.2,28.6,31.8,,19.4,68.0,27.0,22.7,77.3,59.4
south dakota no_data,33.5,13.2,13.4,78.5,25.1,32.9,37.3,82.8,,27.1,18.3,35.8,,23.6,60.6,18.0,13.9,86.1,78.5
tennessee no_data,41.0,21.2,14.9,76.7,36.2,45.8,38.5,88.7,,50.8,19.9,37.5,59.6,15.0,63.9,27.1,31.1,68.9,60.5
texas no_data,30.1,15.5,17.2,84.5,21.2,41.4,34.8,87.9,,23.5,25.6,43.1,59.4,17.1,70.8,17.8,18.7,81.3,65.1
"united states, dc & territories no_data",23.7,16.6,15.9,71.6,26.2,33.2,33.4,87.5,46.6,31.0,32.1,39.9,,22.2,52.2,20.9,21.6,78.4,60.1
utah no_data,43.4,24.1,15.1,82.5,23.4,35.5,31.0,82.8,,27.3,21.7,37.5,61.3,17.6,65.0,23.3,19.2,80.8,64.0
vermont no_data,38.3,17.7,22.0,77.2,23.9,35.9,29.2,89.5,,27.2,24.5,40.6,,11.9,71.1,26.8,14.3,85.7,69.5
virginia no_data,27.0,15.4,12.6,74.4,25.5,32.2,30.1,91.9,,41.3,10.8,41.3,66.1,15.2,66.0,21.4,19.4,80.6,53.9
washington no_data,36.9,18.4,14.5,80.2,26.3,33.1,34.6,88.4,,28.3,19.0,32.3,58.6,16.1,58.1,27.6,18.9,81.1,62.8
west no_data,29.7,18.8,14.6,77.5,26.3,33.3,29.3,84.9,49.2,28.0,24.4,37.1,66.9,15.4,69.7,20.4,22.7,77.3,62.4
west virginia no_data,28.6,16.5,10.2,68.6,35.9,29.9,43.6,85.8,,22.9,27.5,15.8,,12.5,62.7,24.6,28.6,71.4,52.8
wisconsin no_data,34.4,17.2,19.0,85.6,24.6,32.0,33.6,89.7,,20.6,21.7,45.1,,11.8,67.8,20.9,18.0,82.0,60.8
wyoming no_data,16.8,17.3,8.8,75.6,25.1,35.4,33.0,88.1,,25.5,33.0,35.2,,20.1,64.5,20.4,18.4,81.6,66.2
