,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,Frequent mental distress,Taking medication for high blood pressure,Disability status,Ever had pneumococcal vaccine,Obesity,Cholesterol checked in past 5 years,Colorectal cancer screening,No leisure time physical activity within past month,Current smoking,Influenza vaccine within past year,Diabetes screening within past 3 years,Binge drinking within past 30 days,High blood pressure ever,Lifetime diagnosis of depression,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
"united states, dc & territories female",47.6,22.0,8.0,94.0,35.8,70.4,26.6,95.6,76.9,36.0,7.9,61.0,72.3,2.6,36.4,17.3,26.3,73.7,71.4
"united states, dc & territories male",36.5,14.6,6.3,92.0,34.1,64.5,26.1,94.9,78.9,30.2,9.8,61.5,74.4,7.0,37.6,11.2,26.8,73.2,74.7
"united states, dc & territories asian/pacific islander",54.0,30.1,5.0,93.2,23.2,63.5,9.4,94.5,75.7,27.7,5.9,67.3,63.6,5.0,38.3,9.7,20.8,79.2,59.5
"united states, dc & territories black, non-hispanic",42.5,16.1,9.4,94.8,39.1,57.7,36.2,93.9,74.8,38.7,11.7,51.0,72.6,3.0,21.2,12.3,36.8,63.2,65.7
"united states, dc & territories hispanic",42.8,19.4,12.3,93.7,33.0,47.5,30.1,90.7,72.4,42.9,8.2,52.4,79.9,5.1,34.6,17.4,49.1,50.9,67.1
kansas no_data,37.4,12.9,11.8,91.6,45.5,66.5,31.1,93.2,65.2,36.3,16.7,54.6,67.0,5.1,37.3,20.1,39.5,60.5,66.8
"united states, dc & territories native am/alaskan native",38.3,18.6,6.4,92.9,34.8,71.1,25.3,96.0,78.8,32.0,8.4,63.3,73.1,4.7,38.9,14.6,23.0,77.0,74.9
"united states, dc & territories white, non-hispanic",42.5,16.6,9.5,94.7,41.2,67.1,28.4,94.7,76.1,34.9,8.9,62.9,69.3,2.1,30.7,18.9,35.1,64.9,71.7
alabama no_data,28.4,23.8,7.2,84.9,35.6,63.3,30.4,94.1,,31.8,11.7,52.6,68.4,7.0,40.9,11.7,24.5,75.5,74.4
alaska no_data,41.2,18.8,6.7,92.7,34.2,71.9,23.2,94.9,70.3,27.9,7.9,60.0,67.4,5.5,42.0,14.7,20.9,79.1,75.6
arizona no_data,40.9,16.3,8.4,92.5,40.3,67.8,26.4,94.4,,39.6,11.1,58.0,67.9,2.6,34.4,17.0,33.7,66.3,72.4
arkansas no_data,31.9,30.0,9.2,90.6,36.0,64.5,22.0,94.4,,27.4,7.2,62.5,,6.0,38.5,12.9,23.0,77.0,72.6
california no_data,54.5,21.0,5.6,88.3,34.9,73.9,18.6,95.7,,23.9,9.1,67.8,,4.7,42.9,14.3,19.0,81.0,77.9
colorado no_data,49.0,18.5,6.5,93.2,33.3,67.7,26.3,96.9,,33.6,7.4,63.6,70.0,4.4,37.2,14.8,21.6,78.4,72.0
connecticut no_data,52.7,16.5,7.3,95.5,30.6,72.4,30.3,95.9,83.0,36.2,8.4,65.8,73.8,5.3,35.1,12.9,23.9,76.1,72.3
delaware no_data,45.5,21.5,7.3,93.3,35.9,64.4,23.8,94.6,,25.6,8.0,58.5,69.7,5.1,37.2,11.9,24.2,75.8,75.0
district of columbia no_data,51.0,19.7,8.3,94.2,33.4,66.0,24.8,96.6,81.2,32.0,8.7,54.5,76.9,4.4,37.4,14.7,25.3,74.7,71.6
florida no_data,44.1,17.5,6.4,94.1,34.1,66.4,26.5,95.1,76.0,34.4,8.7,54.6,67.6,3.4,34.9,15.1,28.7,71.3,72.9
georgia no_data,39.7,18.8,7.5,96.7,30.9,36.8,19.3,89.1,,41.7,14.1,49.7,57.2,11.3,35.1,7.4,31.4,68.6,43.8
guam no_data,39.6,26.3,6.0,92.6,28.5,68.2,16.1,94.8,73.8,27.4,6.0,69.9,70.8,4.7,42.2,8.7,21.9,78.1,59.0
hawaii no_data,40.8,19.0,7.6,89.2,33.8,68.7,29.9,94.1,,27.0,8.2,56.6,68.1,4.6,37.8,18.1,21.0,79.0,77.6
idaho no_data,42.7,19.0,7.4,92.6,35.1,64.6,28.8,94.1,,34.0,8.6,58.6,74.1,4.2,37.0,12.2,26.9,73.1,74.6
illinois no_data,43.5,14.4,6.7,93.3,33.6,70.0,30.7,94.9,,39.2,9.6,57.6,72.6,3.1,34.3,15.9,26.8,73.2,75.6
indiana no_data,39.5,14.3,4.7,93.4,33.4,72.6,29.9,94.0,,35.9,8.0,67.4,,4.0,39.2,13.9,21.8,78.2,77.7
iowa no_data,49.1,17.4,5.7,93.3,35.8,70.0,25.9,93.8,,32.0,9.1,64.8,,3.0,37.3,14.0,22.6,77.4,80.1
kentucky no_data,33.3,14.5,10.0,95.4,38.0,67.6,29.6,96.1,,40.2,11.8,65.6,70.2,3.2,34.2,16.1,35.5,64.5,71.2
louisiana no_data,28.5,12.9,7.6,94.9,39.4,68.1,32.2,95.6,,38.1,11.5,66.3,73.2,5.1,29.6,14.8,35.8,64.2,71.8
maine no_data,51.8,21.0,6.0,92.3,32.5,73.8,27.2,96.6,,28.6,6.8,63.4,,4.1,39.9,16.8,20.3,79.7,73.0
maryland no_data,45.4,19.1,6.3,94.6,31.8,69.3,27.0,95.9,,34.0,8.7,66.9,,5.0,35.3,13.3,24.5,75.5,70.1
massachusetts no_data,51.8,18.7,6.9,93.4,31.5,69.9,23.8,96.3,79.1,33.1,9.6,66.1,70.1,3.9,39.5,15.6,22.0,78.0,68.8
michigan no_data,43.9,17.0,6.7,92.9,37.9,68.6,29.8,96.7,77.5,30.8,9.4,56.8,,6.9,34.5,16.9,23.7,76.3,73.0
midwest no_data,43.3,16.5,6.2,93.2,34.5,69.6,28.8,95.1,76.9,34.0,9.1,61.3,72.6,4.6,37.4,14.3,24.6,75.4,74.8
minnesota no_data,45.3,16.4,3.7,94.1,27.3,72.3,24.8,95.6,,33.5,9.3,66.0,65.8,4.2,43.7,13.4,18.7,81.3,76.7
mississippi no_data,29.1,12.3,7.8,94.7,42.0,66.1,28.2,95.5,,45.3,12.9,62.9,72.6,3.1,30.6,16.4,38.3,61.7,72.5
missouri no_data,39.2,15.3,6.6,94.3,40.6,71.0,26.7,95.1,,33.8,10.7,69.5,75.9,4.4,39.4,16.7,26.6,73.4,77.2
montana no_data,41.7,19.9,6.2,89.3,36.5,69.9,23.4,93.4,,30.2,9.7,61.1,,5.1,42.1,14.9,21.6,78.4,77.4
nebraska no_data,44.3,16.9,5.6,92.9,34.1,71.6,28.2,94.5,73.3,30.1,8.6,66.2,,4.1,37.5,13.9,22.7,77.3,78.2
nevada no_data,38.4,18.7,6.4,91.1,36.5,66.8,23.9,94.4,70.9,34.6,15.4,51.6,71.5,7.3,40.2,15.9,21.8,78.2,73.7
new hampshire no_data,47.2,19.2,4.9,92.3,31.2,73.4,25.5,97.5,81.4,27.6,7.1,63.7,72.1,4.4,40.6,14.3,18.4,81.6,74.0
new jersey no_data,46.6,18.1,7.2,92.6,31.6,61.9,26.2,95.5,,34.3,7.7,57.2,,4.1,38.9,12.0,25.1,74.9,64.4
new mexico no_data,41.7,23.3,6.6,91.1,36.1,68.7,20.5,92.9,,25.6,9.9,55.6,71.8,3.5,42.8,16.6,28.5,71.5,75.8
new york no_data,50.1,20.6,7.2,94.1,35.0,65.1,25.9,95.9,,32.9,6.5,62.2,,5.5,36.9,13.3,29.1,70.9,69.8
