,Frequent mental distress,Fall with injury within last year,Disability status,Oral health:  tooth retention,Binge drinking within past 30 days,Obesity,Ever had pneumococcal vaccine,Colorectal cancer screening,Current smoking,No leisure time physical activity within past month,Influenza vaccine within past year,Diabetes screening within past 3 years,Social and emotional support,Life satisfaction,Lifetime diagnosis of depression,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
south no_data,7.8,12.5,38.3,62.5,5.1,67.7,24.7,67.9,30.3,9.8,57.9,64.1,3.9,98.1,17.8,26.2,73.8,72.0
"united states, dc & territories female",8.4,8.3,35.1,62.3,30.9,71.6,75.6,9.1,31.2,59.9,69.1,2.8,9.7,97.6,11.8,25.1,74.9,75.5
"united states, dc & territories male",6.3,10.2,24.1,59.0,27.4,70.1,76.6,34.5,8.0,59.0,72.0,6.6,27.4,,7.2,12.8,87.2,57.5
"united states, dc & territories asian/pacific islander",6.0,7.8,38.8,70.7,71.0,27.4,69.6,27.4,9.7,61.3,54.1,2.7,1.5,96.1,11.6,37.0,63.0,65.3
"united states, dc & territories black, non-hispanic",8.5,10.6,36.5,44.5,65.8,27.6,77.7,23.9,6.7,49.4,72.4,3.7,,97.2,19.3,48.9,51.1,65.7
"united states, dc & territories hispanic",11.2,16.7,47.4,62.5,59.0,11.4,67.8,36.4,13.4,54.2,75.4,3.6,11.5,,23.0,36.1,63.9,70.6
"united states, dc & territories native am/alaskan native",13.0,10.9,36.7,45.0,57.1,37.0,65.0,37.9,6.9,60.9,68.2,4.5,6.3,97.9,15.1,22.2,77.8,76.0
"united states, dc & territories white, non-hispanic",6.8,10.8,45.3,64.4,50.3,32.7,77.0,37.2,17.0,61.3,70.3,5.2,,,18.0,33.4,66.6,73.0
alabama no_data,9.4,11.9,34.0,50.8,66.2,32.2,76.5,30.3,8.4,64.1,63.5,4.6,,,11.9,20.8,79.2,72.4
alaska no_data,5.7,10.4,36.2,68.6,72.2,26.3,70.6,33.7,9.4,51.6,69.4,3.1,,,14.9,24.1,75.9,76.0
arizona no_data,7.4,11.5,42.2,67.9,66.9,28.9,75.4,27.9,10.8,56.1,68.0,6.2,,,16.5,31.9,68.1,74.3
arkansas no_data,8.3,12.4,38.8,53.6,60.5,29.6,69.8,27.1,9.0,63.5,,4.2,,,14.1,24.0,76.0,70.9
california no_data,8.9,9.4,37.0,70.0,70.7,24.7,79.1,41.2,11.5,58.2,,4.2,,,14.1,18.8,81.2,77.0
colorado no_data,5.9,10.3,34.3,70.0,69.8,29.2,77.6,26.2,8.0,67.0,,5.8,,,14.0,21.0,79.0,73.0
connecticut no_data,6.4,10.0,36.4,68.4,70.0,24.1,78.6,22.7,8.3,64.7,64.4,3.7,,,14.4,24.2,75.8,71.7
delaware no_data,7.5,11.7,39.4,57.4,73.4,20.5,81.1,30.0,7.0,63.8,72.9,4.2,,,12.4,24.3,75.7,73.2
district of columbia no_data,7.7,10.4,34.7,64.4,70.6,27.2,77.6,31.2,10.5,55.7,72.6,4.2,,,14.3,25.0,75.0,74.3
florida no_data,7.3,10.5,36.3,65.8,72.7,30.5,81.4,29.7,9.0,52.8,72.3,6.3,,,15.9,27.9,72.1,71.3
georgia no_data,8.4,9.8,30.6,56.9,65.9,23.7,77.7,29.5,7.4,54.7,68.2,5.8,,,11.5,32.8,67.2,52.0
guam no_data,7.6,6.9,27.2,57.0,66.5,23.2,48.8,34.6,8.1,41.0,58.9,2.6,,,8.2,19.9,80.1,56.8
hawaii no_data,4.7,10.6,37.6,75.4,65.2,29.5,73.4,39.1,10.6,65.3,61.7,13.2,,,17.2,20.2,79.8,78.3
idaho no_data,6.4,11.1,34.7,67.5,38.8,24.9,73.6,26.1,6.1,54.0,65.0,6.2,,,13.8,26.0,74.0,74.9
illinois no_data,6.3,11.0,35.6,59.5,64.3,14.1,69.6,24.8,8.0,56.9,69.1,3.4,,,13.8,27.4,72.6,75.8
indiana no_data,7.1,9.9,35.8,63.9,68.5,26.1,70.6,31.3,10.6,56.3,68.1,4.2,,,13.7,20.4,79.6,80.9
iowa no_data,5.5,10.4,37.4,64.7,65.3,31.0,74.3,37.1,9.7,66.8,,5.2,,,13.9,23.7,76.3,78.5
kansas no_data,5.1,11.9,39.7,49.5,69.7,30.2,73.5,32.6,9.1,60.8,,3.3,,,18.1,32.8,67.2,72.8
kentucky no_data,7.3,8.6,39.0,53.0,71.8,30.9,75.1,33.1,9.9,68.9,68.3,2.8,,,16.6,33.6,66.4,75.7
louisiana no_data,8.5,9.3,35.0,59.3,71.7,28.7,76.5,38.9,12.4,65.1,71.3,4.2,,,17.1,19.1,80.9,74.8
maine no_data,6.4,8.1,34.4,63.5,69.4,27.5,80.4,37.3,11.6,61.2,71.3,4.1,,,14.1,21.0,79.0,68.9
maryland no_data,6.8,10.6,36.8,60.1,66.9,32.0,81.0,28.7,6.1,62.1,72.4,4.2,,,16.3,20.8,79.2,72.0
massachusetts no_data,6.0,11.4,38.6,64.3,74.1,25.9,79.3,30.7,8.7,57.8,71.9,4.7,,,15.0,22.3,77.7,74.7
michigan no_data,7.0,10.8,36.0,61.4,69.8,29.0,80.4,29.1,7.7,57.6,70.5,4.9,6.4,97.9,14.4,24.0,76.0,76.2
midwest no_data,6.6,9.0,30.8,71.7,71.9,25.1,74.4,34.5,8.9,59.2,69.9,4.7,6.4,97.9,13.4,19.4,80.6,79.2
minnesota no_data,5.0,8.8,39.7,48.4,69.3,32.7,77.3,33.0,9.5,64.3,63.6,5.4,,,17.2,32.9,67.1,72.9
mississippi no_data,7.4,12.9,39.7,54.5,69.8,28.5,72.2,29.3,8.1,66.6,69.1,2.2,,,16.8,27.6,72.4,76.4
missouri no_data,8.1,12.1,39.1,64.9,72.6,28.8,72.3,38.3,10.5,68.3,72.4,3.4,,,15.8,22.8,77.2,76.9
montana no_data,5.9,9.9,35.1,67.6,67.1,27.9,72.2,33.9,10.8,60.8,,5.1,,,13.6,19.7,80.3,77.8
nebraska no_data,5.1,9.8,39.8,59.7,72.0,26.7,71.3,26.8,8.3,64.7,,4.6,,,16.7,26.4,73.6,73.8
nevada no_data,8.7,9.6,34.1,63.9,70.3,28.6,75.0,30.5,8.1,52.9,73.0,6.1,,,16.2,19.7,80.3,74.5
new hampshire no_data,6.0,10.2,31.3,64.5,72.3,27.6,81.2,30.1,12.6,60.8,,4.4,,,12.7,24.4,75.6,67.1
new jersey no_data,6.8,10.2,39.1,63.4,71.0,28.4,75.5,29.0,7.4,59.4,70.6,4.5,,,18.3,29.1,70.9,74.7
new mexico no_data,8.8,10.7,34.4,62.7,76.1,27.3,69.5,30.1,9.0,56.2,68.8,3.7,,,14.8,25.1,74.9,68.4
new york no_data,7.6,10.0,38.3,53.2,64.1,20.8,76.3,29.4,9.9,60.0,,5.0,,,18.4,27.3,72.7,75.6
north carolina no_data,8.7,9.5,33.6,62.6,70.3,27.3,78.5,30.6,7.7,68.8,,3.1,,,14.1,23.9,76.1,78.5
