,Disability status,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,Frequent mental distress,Taking medication for high blood pressure,Binge drinking within past 30 days,Ever had pneumococcal vaccine,Obesity,Cholesterol checked in past 5 years,No leisure time physical activity within past month,Current smoking,Lifetime diagnosis of anxiety disorder,Influenza vaccine within past year,Diabetes screening within past 3 years,High blood pressure ever,Lifetime diagnosis of depression,Increased confusion or memory loss (ICML) among older adults,Functional difficulties associated with increased confusion or memory loss (ICML) among older adults,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
alaska no_data,30.8,46.2,24.3,13.5,75.2,11.4,37.8,32.5,85.9,29.1,19.6,35.5,63.5,5.2,47.9,26.5,9.1,,24.4,75.6,61.1
arizona no_data,37.3,41.6,16.8,9.8,79.4,40.3,32.8,91.1,28.7,18.1,,38.3,72.2,19.2,57.9,16.2,11.3,32.7,24.5,75.5,63.5
arkansas no_data,43.0,43.6,22.4,16.7,83.4,34.8,33.2,87.6,28.0,22.4,43.5,,65.9,11.7,58.8,6.1,6.3,35.0,15.4,84.6,69.1
california no_data,33.1,47.1,26.6,14.3,77.2,31.4,14.4,90.4,26.6,8.5,37.4,,61.2,57.2,20.8,19.3,10.4,24.0,34.3,65.7,42.1
colorado no_data,33.1,22.8,11.8,13.9,76.8,17.6,43.5,91.2,35.7,27.1,43.8,66.1,7.7,51.4,15.1,21.4,20.2,52.1,42.4,57.6,53.6
connecticut no_data,29.8,42.6,16.2,18.1,90.8,42.1,37.0,80.8,37.9,16.2,36.6,66.4,16.7,60.2,10.2,26.8,9.4,55.1,42.4,57.6,36.0
delaware no_data,34.5,44.1,24.4,11.1,84.6,33.1,40.5,87.9,30.7,33.9,34.1,48.6,3.5,33.4,18.9,22.2,9.8,14.9,19.9,80.1,65.2
"united states, dc & territories female",45.7,26.2,39.4,11.2,76.5,36.0,31.6,90.6,25.7,20.1,39.3,69.8,8.8,52.5,22.0,26.5,,27.7,33.8,66.2,
"united states, dc & territories male",35.0,15.7,15.8,83.0,35.6,38.4,33.6,91.5,36.4,25.1,42.1,64.3,13.6,53.6,7.4,22.1,,,15.8,84.2,65.5
"united states, dc & territories asian/pacific islander",53.6,26.0,11.4,82.1,33.1,39.4,31.6,84.3,26.3,20.8,40.5,53.7,16.8,57.6,16.9,23.4,,,20.1,79.9,
"united states, dc & territories black, non-hispanic",37.0,13.9,6.7,87.3,16.8,38.8,29.7,81.0,30.0,20.5,31.6,67.0,12.7,43.2,,28.9,,,31.6,68.4,
"united states, dc & territories hispanic",44.1,22.3,17.2,88.5,40.3,46.9,35.3,86.2,36.5,25.6,37.8,,9.5,58.3,,16.6,,,28.3,71.7,
"united states, dc & territories native am/alaskan native",43.1,23.4,16.6,75.2,33.1,40.5,30.2,88.9,21.8,13.3,37.6,66.1,12.6,69.3,,23.4,,,16.2,83.8,
"united states, dc & territories white, non-hispanic",39.6,21.1,17.5,75.4,49.7,31.4,22.9,87.5,17.5,18.1,34.2,60.9,17.2,47.0,,16.8,,,17.6,82.4,
alabama no_data,26.5,16.6,12.7,82.6,34.1,37.8,27.2,89.3,26.8,13.5,43.3,,9.4,57.3,,18.5,,,21.3,78.7,
district of columbia no_data,40.4,25.9,16.3,87.2,46.8,32.1,36.3,90.8,29.7,21.7,42.3,,10.7,64.1,,19.6,,,18.8,81.2,
florida no_data,42.9,28.6,10.7,76.2,34.7,34.1,32.8,88.5,28.0,18.0,41.7,,10.6,60.2,,22.7,,,24.7,75.3,
georgia no_data,26.3,14.7,14.0,78.0,36.6,41.3,28.2,89.9,27.3,19.5,45.1,67.9,15.2,56.0,,20.8,,,26.7,73.3,
guam no_data,50.9,28.9,14.6,84.5,37.1,38.5,34.2,91.6,28.4,18.1,29.1,,16.1,48.1,,8.0,,,34.7,65.3,
hawaii no_data,43.9,23.4,14.3,77.0,27.8,43.9,24.7,81.2,33.4,22.7,39.2,,10.5,53.0,,10.8,7.4,32.5,19.5,80.5,
idaho no_data,51.0,23.9,11.0,79.5,23.7,24.4,22.1,89.9,23.8,15.9,36.2,,10.8,48.9,,26.5,,,18.2,81.8,
illinois no_data,31.0,20.2,11.7,86.4,32.9,45.1,32.5,85.9,19.5,13.8,45.6,,10.3,71.8,,19.9,10.7,35.3,24.8,75.2,
indiana no_data,50.3,32.7,12.9,85.8,31.1,26.3,32.5,89.7,30.6,24.2,33.9,,9.5,60.1,,25.3,,,21.8,78.2,
iowa no_data,47.6,25.1,9.5,83.6,32.1,35.4,36.3,89.4,30.9,24.3,45.5,65.3,13.0,59.7,,17.9,,,16.5,83.5,
kansas no_data,36.5,20.1,15.9,82.0,30.4,37.3,37.3,86.1,29.4,19.9,37.3,,10.7,53.6,,19.0,,,19.0,81.0,
kentucky no_data,34.2,14.7,14.8,87.7,32.8,41.2,36.1,90.1,29.8,20.2,56.0,,15.4,53.7,,25.9,,,29.2,70.8,
louisiana no_data,36.9,22.7,7.6,,41.6,40.0,37.1,89.6,34.3,27.0,45.9,,11.1,58.6,,22.6,,,33.4,66.6,
maine no_data,42.9,19.0,10.3,83.1,43.9,38.0,44.9,89.9,35.8,25.8,39.6,,16.7,56.1,,26.6,,,20.2,79.8,
maryland no_data,49.7,22.4,13.4,70.7,35.5,49.0,32.4,91.7,23.2,18.3,49.3,,9.6,48.4,,16.9,,,18.0,82.0,
massachusetts no_data,36.7,17.6,12.2,84.9,30.0,38.6,34.5,90.3,32.6,17.6,46.2,,11.2,42.8,,20.7,,,18.1,81.9,
michigan no_data,38.4,15.0,14.8,88.1,29.3,43.1,29.6,94.8,26.6,16.7,43.8,,10.8,60.2,,23.9,,,21.0,79.0,
midwest no_data,32.6,20.3,8.4,83.3,34.3,42.9,38.7,91.6,26.1,22.3,46.8,,11.4,55.4,,20.7,10.8,,21.4,78.6,67.9
minnesota no_data,28.2,15.4,11.1,82.8,32.4,35.9,34.7,89.7,29.0,22.9,39.1,,8.5,60.5,,15.0,,29.8,14.6,85.4,67.9
mississippi no_data,24.3,7.7,17.4,84.3,27.4,38.4,32.7,92.5,22.6,18.5,42.2,,14.4,55.4,,27.2,,,35.7,64.3,
missouri no_data,44.6,22.7,19.3,90.9,40.8,39.8,38.9,86.7,37.2,27.5,47.0,,16.1,55.5,,20.9,,,26.3,73.7,
montana no_data,37.0,18.4,12.4,82.6,37.9,39.5,38.2,88.3,32.8,24.0,41.6,64.3,15.1,62.9,,24.5,,,23.4,76.6,
nebraska no_data,47.9,24.8,10.7,89.9,36.3,40.4,27.7,79.5,26.4,25.0,38.4,62.5,17.5,42.3,,20.8,,,21.1,78.9,
nevada no_data,40.2,19.5,11.7,84.5,29.9,42.4,33.8,87.8,29.9,19.0,30.9,,9.4,52.6,,22.2,,,28.1,71.9,
new hampshire no_data,39.6,18.4,12.1,84.3,37.1,34.4,26.6,82.5,27.4,27.9,46.7,,13.4,63.1,,22.6,12.1,,19.3,80.7,
new jersey no_data,42.8,17.2,12.0,84.7,30.8,40.2,30.7,92.7,26.4,16.4,31.7,60.0,14.3,58.0,15.7,13.7,,48.9,23.7,76.3,
new mexico no_data,23.7,13.5,9.4,82.5,29.0,34.1,27.9,89.3,28.2,16.9,42.3,,16.3,54.6,,27.9,,,25.9,74.1,
new york no_data,29.7,16.5,17.6,88.3,38.3,41.0,30.1,87.6,26.3,21.2,39.2,,9.5,59.2,19.6,20.2,,,22.6,77.4,
north carolina no_data,38.0,21.0,12.8,87.1,32.4,31.2,29.0,93.4,27.6,18.1,44.9,71.0,12.9,56.7,,23.0,,,26.2,73.8,
north dakota no_data,36.6,18.0,14.5,77.5,33.8,37.5,31.8,91.5,31.0,24.6,40.5,58.2,12.9,58.2,,18.7,,,14.1,85.9,
northeast no_data,45.4,21.3,9.6,83.2,27.0,42.5,34.9,87.2,28.4,18.2,46.1,67.3,9.2,56.3,,19.8,12.1,,21.4,78.6,
ohio no_data,49.7,23.7,16.1,70.7,31.3,35.6,30.6,92.0,27.5,18.4,42.7,,14.4,52.2,15.7,20.7,,48.9,22.9,77.1,
oklahoma no_data,40.6,22.5,13.3,81.9,34.9,35.0,33.0,90.0,32.7,25.9,42.0,,10.5,61.9,,27.1,,,27.6,72.4,
oregon no_data,39.6,23.6,14.2,79.7,38.0,42.8,38.3,90.7,39.1,26.3,40.8,,18.3,57.3,,30.3,,,24.4,75.6,
pennsylvania no_data,51.4,23.7,15.7,79.1,45.7,42.2,29.6,88.0,17.6,20.7,45.3,67.5,13.6,53.4,,21.8,,,21.6,78.4,
puerto rico no_data,32.3,22.9,10.6,79.5,31.7,35.7,35.7,91.3,28.3,22.3,40.3,,14.4,48.0,,30.3,,,54.9,45.1,
rhode island no_data,43.2,16.8,14.1,86.4,37.1,19.8,34.4,88.4,56.1,15.0,42.2,,9.3,56.8,,27.5,,,21.8,78.2,
south no_data,46.2,22.1,8.3,83.7,37.7,46.7,33.0,89.6,28.9,18.4,15.6,,15.0,55.8,,23.0,9.4,,26.8,73.2,56.3
south carolina no_data,34.6,17.1,12.8,81.6,36.7,40.4,35.3,89.0,31.1,22.2,45.4,72.7,12.3,40.5,,23.0,11.4,39.9,27.9,72.1,
south dakota no_data,22.3,12.8,13.5,84.1,36.2,41.9,35.3,91.1,31.6,25.4,41.5,,9.2,57.1,,19.7,,46.8,17.3,82.7,
tennessee no_data,44.8,27.5,18.5,86.9,37.6,37.2,33.8,91.5,26.5,21.6,43.5,,14.1,49.6,,23.1,7.1,,30.4,69.6,56.3
texas no_data,39.9,17.3,13.5,74.5,37.7,28.5,34.6,91.1,38.4,23.8,53.1,69.4,9.9,50.2,,24.1,,,24.7,75.3,
"united states, dc & territories no_data",22.6,11.7,15.4,83.1,32.3,43.6,38.7,83.3,28.0,21.0,49.5,68.1,11.7,57.7,,21.5,10.2,,24.4,75.6,62.3
utah no_data,48.5,23.8,19.6,81.6,34.4,37.5,33.0,89.4,28.4,20.2,42.9,,11.5,38.5,17.9,27.7,,34.0,20.5,79.5,
vermont no_data,34.6,18.6,16.9,83.3,31.7,48.7,31.4,88.4,25.0,13.0,40.5,69.4,6.4,51.7,,23.3,,,13.4,86.6,
virginia no_data,32.7,15.4,14.9,84.8,32.5,48.8,27.9,92.1,24.0,19.0,43.4,,10.9,54.4,,19.1,,,25.7,74.3,
washington no_data,35.0,15.6,18.8,89.4,37.8,46.0,38.4,91.1,25.4,22.2,46.0,66.3,12.1,61.4,,25.8,,,20.3,79.7,
west no_data,21.2,11.0,9.0,80.6,35.1,42.0,32.1,89.5,23.3,16.0,44.9,,7.8,61.5,19.6,20.9,7.4,32.5,24.7,75.3,65.5
west virginia no_data,35.6,21.0,11.4,78.1,44.4,36.7,29.6,87.6,22.7,16.2,42.5,,12.5,50.9,,23.5,10.8,50.7,34.2,65.8,
wisconsin no_data,40.6,20.9,12.3,82.4,27.8,46.9,41.4,91.1,42.3,23.6,37.2,,7.5,57.4,,19.7,11.0,17.8,18.8,81.2,
wyoming no_data,46.5,26.0,13.7,82.6,39.0,35.8,31.4,87.9,22.8,21.2,51.8,64.7,10.4,59.0,,22.7,,,21.8,78.2,
