,Disability status,Eating 3 or more vegetables daily,Eating 2 or more fruits daily,Frequent mental distress,Taking medication for high blood pressure,Obesity,Ever had pneumococcal vaccine,Cholesterol checked in past 5 years,No leisure time physical activity within past month,Current smoking,Influenza vaccine within past year,Diabetes screening within past 3 years,Binge drinking within past 30 days,High blood pressure ever,Lifetime diagnosis of anxiety disorder,Lifetime diagnosis of depression,Increased confusion or memory loss (ICML) among older adults,Functional difficulties associated with increased confusion or memory loss (ICML) among older adults,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
louisiana no_data,42.0,48.8,23.4,10.3,91.6,27.5,47.6,93.0,29.6,15.0,48.8,68.1,5.8,49.0,18.1,24.0,10.2,30.7,23.2,74.7,66.8
maine no_data,37.1,39.4,22.4,9.1,82.2,52.4,32.7,91.6,27.5,17.6,46.0,69.7,13.2,44.6,17.1,17.2,8.1,29.6,25.3,73.9,70.4
maryland no_data,32.4,40.4,18.9,11.2,84.6,47.5,33.1,90.8,18.6,7.9,48.9,58.9,4.1,52.1,37.9,6.6,4.0,25.6,26.1,80.6,54.6
massachusetts no_data,34.0,46.0,20.5,12.7,91.8,34.5,6.6,92.3,35.3,23.5,38.4,69.5,6.8,28.9,22.4,19.2,6.2,67.5,19.4,61.4,71.6
michigan no_data,38.1,24.3,11.7,9.8,88.1,46.4,42.6,86.7,38.4,12.0,41.6,69.0,9.3,41.6,21.5,24.4,3.6,91.3,38.6,52.8,86.4
midwest no_data,35.3,42.9,16.3,7.6,84.5,42.5,34.0,94.8,34.1,22.7,53.5,62.3,9.9,39.0,12.9,27.2,11.6,28.4,47.2,59.5,57.5
west no_data,25.6,35.5,20.3,88.6,37.1,54.3,39.8,93.3,26.8,16.0,49.3,69.2,10.0,49.8,16.3,20.9,9.7,24.7,40.5,79.0,68.3
"united states, dc & territories female",45.8,11.0,13.0,88.1,36.4,51.9,32.6,94.0,39.8,19.6,45.8,,7.3,35.9,,24.4,,,21.0,66.5,
"united states, dc & territories male",34.0,24.7,10.4,89.7,18.1,52.4,39.5,89.4,25.6,16.8,44.1,65.2,12.2,49.6,,15.9,,,33.5,80.2,67.1
"united states, dc & territories asian/pacific islander",50.1,14.5,6.0,91.6,40.8,47.1,35.4,89.0,33.1,20.2,39.8,67.7,13.1,52.3,,22.3,,,19.8,72.4,
"united states, dc & territories black, non-hispanic",38.4,31.3,14.4,85.2,35.0,51.5,31.2,91.8,37.7,19.7,44.5,,7.4,44.1,,22.7,,,27.6,65.3,
