,Disability status,Frequent mental distress,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,Fall with injury within last year,Oral health:  tooth retention,Ever had pneumococcal vaccine,Obesity,Colorectal cancer screening,Current smoking,No leisure time physical activity within past month,Influenza vaccine within past year,Lifetime diagnosis of depression,Diabetes screening within past 3 years,Binge drinking within past 30 days,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
georgia no_data,30.6,29.1,14.1,13.5,14.5,78.5,39.9,32.4,66.7,23.0,23.2,42.9,22.4,,11.6,22.7,77.3,64.8
guam no_data,31.7,,,13.8,6.0,77.3,34.9,34.1,62.3,26.7,18.5,36.1,67.0,7.6,25.3,25.2,74.8,62.5
hawaii no_data,24.6,,,14.8,11.2,85.6,41.4,9.7,58.0,26.4,22.8,41.6,68.3,17.3,17.0,13.7,86.3,54.3
idaho no_data,30.4,,,11.6,12.3,73.8,38.2,46.4,66.6,23.6,9.2,34.3,57.0,10.8,10.6,33.2,66.8,39.5
illinois no_data,24.6,,,19.0,10.5,62.7,28.0,37.4,48.1,33.9,27.9,32.5,70.7,8.9,17.7,39.8,60.2,57.9
indiana no_data,29.0,,,16.1,11.5,80.1,49.3,34.7,53.0,36.3,17.1,40.6,72.7,13.9,22.8,41.2,58.8,56.4
iowa no_data,25.5,27.6,16.5,17.0,10.6,68.0,38.3,31.7,67.4,41.8,34.8,41.6,65.4,15.0,31.0,19.7,80.3,69.3
kansas no_data,26.2,,,11.2,8.2,79.8,41.4,38.8,65.0,23.6,20.3,42.1,66.9,12.7,21.6,31.9,68.1,
kentucky no_data,40.9,,,18.8,10.2,64.9,30.5,29.3,58.0,33.4,25.7,28.5,66.3,8.7,30.6,15.2,84.8,70.5
louisiana no_data,38.5,18.3,14.0,11.8,10.2,82.9,38.0,31.7,58.9,23.0,22.9,35.6,61.7,11.7,15.3,25.4,74.6,
maine no_data,28.9,,,14.0,10.8,78.3,34.1,37.0,54.9,18.6,20.5,39.2,,12.2,26.6,33.9,66.1,
maryland no_data,26.1,34.7,19.2,9.6,9.3,68.4,38.5,30.4,66.4,37.6,28.6,37.6,62.7,8.3,28.8,21.6,78.4,
south no_data,33.2,,,12.1,11.0,82.3,35.5,24.2,63.0,21.0,15.2,41.1,,13.9,16.5,17.7,82.3,
missouri no_data,15.1,,,13.7,9.4,85.1,37.6,25.7,75.4,16.8,18.6,41.6,,13.4,22.5,17.2,82.8,
montana no_data,37.5,,,13.5,12.9,83.2,35.7,35.6,70.1,22.1,11.8,45.0,65.1,12.5,19.0,21.2,78.8,
nebraska no_data,29.1,,,14.3,11.1,75.9,35.1,32.9,59.4,26.8,20.2,35.5,68.5,10.5,23.7,21.3,78.7,
nevada no_data,26.4,46.7,25.6,16.9,10.4,76.1,29.7,31.8,59.9,20.0,27.5,27.8,,10.0,21.4,28.6,71.4,
washington no_data,32.6,,,11.2,5.5,75.7,46.0,37.3,67.0,27.4,22.0,39.3,,11.5,21.9,27.7,72.3,
west no_data,35.2,,,9.3,10.8,71.1,13.5,20.8,38.1,33.1,21.9,37.7,60.3,8.4,21.4,34.6,65.4,
"united states, dc & territories female",30.0,,,12.8,30.0,74.2,36.6,25.4,61.7,33.0,34.1,43.7,55.9,13.5,18.4,20.3,79.7,
"united states, dc & territories male",40.5,24.3,15.8,8.7,30.8,87.9,35.7,28.2,57.5,22.4,12.2,27.9,63.8,12.5,17.0,18.7,81.3,
"united states, dc & territories asian/pacific islander",28.1,14.0,12.2,5.6,18.6,85.4,36.1,34.2,59.2,24.3,16.0,34.4,,10.3,21.4,21.1,78.9,
"united states, dc & territories black, non-hispanic",33.3,25.5,5.1,11.1,36.6,81.7,40.1,40.3,58.6,23.9,18.0,37.6,,18.3,17.4,25.4,74.6,
"united states, dc & territories hispanic",33.6,16.6,16.2,11.9,26.5,85.5,35.1,36.6,65.8,28.2,26.8,49.2,,11.0,22.3,15.7,84.3,
"united states, dc & territories native am/alaskan native",48.4,23.0,19.3,23.3,48.1,81.5,33.8,31.6,67.1,26.7,21.4,44.4,67.7,18.8,20.0,19.4,80.6,69.5
"united states, dc & territories white, non-hispanic",34.0,25.8,23.8,10.4,30.1,68.5,39.0,33.0,60.8,26.0,17.4,39.8,57.0,9.6,18.6,31.7,68.3,
alabama no_data,32.6,18.8,12.9,13.6,42.6,66.3,30.4,38.2,54.8,33.1,28.6,37.7,63.7,11.1,27.1,32.9,67.1,
alaska no_data,,,19.5,10.5,25.8,75.3,45.6,31.3,77.0,36.5,28.3,45.4,,13.8,19.5,18.5,81.5,
arizona no_data,,,7.3,12.8,31.3,80.0,35.1,33.2,72.6,23.0,19.7,45.5,72.5,12.2,26.1,19.0,81.0,
arkansas no_data,42.1,25.0,14.8,15.6,35.8,81.0,38.2,25.6,79.1,24.4,18.0,46.2,,12.0,18.4,14.4,85.6,
california no_data,,,16.4,11.7,28.4,76.1,37.8,36.0,70.8,18.4,17.0,37.3,,10.3,21.7,22.2,77.8,
colorado no_data,48.8,25.9,15.3,10.0,27.9,79.4,39.0,35.4,64.7,26.7,24.4,40.2,69.4,14.5,24.1,21.4,78.6,69.5
connecticut no_data,,,12.4,10.6,24.7,84.9,43.8,32.7,72.7,25.8,22.4,48.5,67.2,14.6,21.1,17.4,82.6,
delaware no_data,,,11.2,9.3,28.3,59.5,31.6,42.6,56.4,20.0,18.3,35.0,62.5,14.8,22.2,34.5,65.5,
district of columbia no_data,30.9,16.0,16.3,17.3,33.0,76.4,40.1,35.1,63.8,37.5,26.5,41.7,67.1,6.6,19.2,22.0,78.0,
florida no_data,,,13.5,15.1,34.2,79.2,40.2,32.3,57.0,29.7,25.3,35.1,,12.6,23.6,18.1,81.9,
massachusetts no_data,,,18.5,11.6,23.9,82.3,40.2,33.0,62.1,23.4,18.0,45.2,,19.1,21.9,17.2,82.8,
michigan no_data,28.5,18.7,13.8,11.3,33.9,73.2,36.9,32.4,59.2,23.0,20.3,24.9,,15.1,20.3,24.9,75.1,54.7
midwest no_data,,,17.5,7.3,28.6,79.5,48.5,29.3,76.6,23.9,26.6,48.6,,13.3,21.0,16.3,83.7,
minnesota no_data,,,7.0,9.3,23.8,82.1,30.5,26.2,61.5,21.9,14.1,37.2,,12.4,20.6,17.3,82.7,
mississippi no_data,,,9.4,9.3,38.8,80.7,38.3,30.5,54.0,25.0,18.4,36.5,68.0,12.3,14.3,29.8,70.2,
new hampshire no_data,,,11.4,12.9,28.5,79.0,31.0,32.0,69.5,24.7,19.5,41.4,66.1,9.6,25.0,20.7,79.3,
new jersey no_data,,,15.3,10.6,20.4,71.7,40.3,37.1,67.9,25.9,20.0,44.0,70.9,11.3,21.0,25.4,74.6,
new mexico no_data,,,8.7,10.0,34.7,83.2,37.6,34.8,53.0,30.9,21.4,43.7,67.0,7.9,21.8,16.1,83.9,
new york no_data,,,9.5,13.5,29.7,80.1,35.5,30.1,70.1,24.7,18.9,41.4,,14.0,14.6,19.3,80.7,
north carolina no_data,,,17.0,7.2,33.4,77.7,38.8,35.8,61.7,24.8,19.1,40.1,69.5,12.2,19.7,24.8,75.2,
north dakota no_data,,,15.1,13.5,21.8,74.4,43.7,36.9,56.2,29.6,25.6,45.7,66.9,12.3,22.0,24.4,75.6,
northeast no_data,,,13.0,8.4,27.0,82.9,50.5,33.4,64.8,32.4,23.2,41.4,65.1,8.4,26.7,21.7,78.3,68.0
ohio no_data,35.1,16.1,12.1,9.3,29.9,79.6,39.4,33.7,68.3,15.5,20.5,40.4,68.8,12.1,26.6,22.3,77.7,
oklahoma no_data,,,12.1,7.7,36.0,74.6,19.9,37.9,47.9,27.6,21.9,16.4,70.1,13.7,19.4,54.6,45.4,60.9
oregon no_data,,,13.5,9.7,34.4,81.6,36.2,30.7,73.6,50.6,11.4,40.6,80.2,13.9,31.7,20.1,79.9,
pennsylvania no_data,29.1,14.1,12.4,9.7,29.3,73.2,36.6,35.2,62.3,27.4,20.8,40.1,,14.3,23.5,28.4,71.6,
puerto rico no_data,,,9.6,12.3,36.8,67.2,33.5,37.0,63.5,30.9,24.8,39.7,66.3,10.5,22.7,32.2,67.8,
rhode island no_data,,,14.2,10.7,27.4,81.6,26.5,33.3,62.8,33.2,20.8,48.0,,10.9,16.9,19.0,81.0,
south carolina no_data,,,15.1,12.8,38.5,64.3,39.1,36.1,66.1,24.0,23.6,50.9,68.5,15.6,28.9,31.8,68.2,
south dakota no_data,,,11.3,10.6,24.5,80.6,35.5,32.6,56.6,35.3,22.4,41.2,63.2,4.9,21.0,27.6,72.4,
tennessee no_data,,,10.4,7.5,38.0,77.9,37.3,33.3,64.5,30.5,20.6,39.6,71.5,13.8,21.2,23.9,76.1,63.7
texas no_data,,,17.6,11.9,27.6,86.3,39.9,32.5,70.8,26.5,11.3,44.3,67.6,12.3,24.0,16.8,83.2,
"united states, dc & territories no_data",,,9.5,8.1,30.4,79.2,40.2,27.4,75.0,18.9,15.0,40.7,69.8,6.9,23.2,15.6,84.4,
utah no_data,,,12.2,12.4,29.9,74.3,37.8,38.8,72.4,20.4,20.2,45.8,61.5,11.8,17.9,28.6,71.4,
vermont no_data,,,15.3,10.1,25.9,83.3,46.3,31.3,65.9,27.7,17.3,42.2,65.7,9.3,26.5,20.8,79.2,
virginia no_data,,,16.2,10.9,30.2,82.2,39.7,30.3,64.2,21.7,16.9,37.9,64.3,12.8,20.2,21.5,78.5,63.8
west virginia no_data,,,14.7,11.5,41.9,61.3,48.1,38.8,61.3,20.5,27.7,47.7,65.2,13.1,25.1,34.8,65.2,
wisconsin no_data,,,7.3,10.2,24.7,81.5,46.1,35.7,72.3,33.9,21.3,41.8,76.1,7.1,20.6,18.7,81.3,
wyoming no_data,,,13.2,11.3,29.9,79.5,34.5,33.9,53.5,19.9,21.2,33.8,72.2,17.1,21.7,19.3,80.7,
