,Frequent mental distress,Fall with injury within last year,Disability status,Oral health:  tooth retention,Social and emotional support,Ever had pneumococcal vaccine,Obesity,Colorectal cancer screening,Current smoking,No leisure time physical activity within past month,Life satisfaction,Influenza vaccine within past year,Diabetes screening within past 3 years,Binge drinking within past 30 days,Lifetime diagnosis of depression,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Prevalence of sufficient sleep (>6 hours)
"united states, dc & territories female",15.6,15.3,31.6,77.5,,42.7,37.7,54.5,21.4,21.6,37.5,65.4,21.1,,28.4,24.9,75.1,62.6
"united states, dc & territories male",10.6,9.1,30.4,78.8,42.0,34.7,68.0,21.7,28.5,,36.2,59.8,11.9,95.5,16.4,23.9,76.1,62.8
"united states, dc & territories asian/pacific islander",4.7,3.5,18.6,83.4,37.1,34.6,62.7,27.2,17.9,44.8,66.7,7.7,3.2,96.2,10.0,17.1,82.9,65.4
"united states, dc & territories black, non-hispanic",14.8,13.9,37.7,66.1,37.0,12.1,71.6,25.7,21.3,38.5,67.7,16.5,7.4,,21.6,30.3,69.7,50.9
"united states, dc & territories hispanic",14.2,12.3,27.5,79.7,42.3,44.5,68.7,24.3,8.0,49.8,51.4,4.8,73.3,95.4,22.4,44.5,55.5,60.9
"united states, dc & territories native am/alaskan native",20.5,19.2,47.0,65.6,30.7,42.2,50.7,32.5,26.4,35.3,71.9,9.6,5.3,94.3,27.6,41.1,58.9,54.2
"united states, dc & territories white, non-hispanic",12.9,12.3,30.4,79.9,54.7,44.0,56.8,34.5,14.1,35.7,67.9,12.1,3.1,86.5,23.1,19.5,80.5,65.5
alabama no_data,16.3,16.0,44.1,65.5,40.2,32.5,67.4,37.6,28.5,43.0,65.1,9.3,,95.9,24.8,36.0,64.0,57.5
alaska no_data,11.2,13.7,30.0,80.7,40.2,39.2,62.0,24.0,19.7,43.7,67.0,12.8,4.6,,17.9,19.8,80.2,64.7
arizona no_data,14.0,10.0,32.7,81.7,43.3,31.6,64.5,33.2,22.5,41.4,68.1,7.8,,,23.6,28.1,71.9,63.4
arkansas no_data,16.5,15.4,41.3,63.7,44.4,35.0,57.0,22.7,22.3,37.5,60.9,18.2,,,30.1,35.4,64.6,63.3
california no_data,12.4,10.4,30.9,81.9,37.5,42.1,55.5,24.6,18.9,34.3,66.0,11.0,,,19.0,26.2,73.8,64.5
colorado no_data,11.8,11.3,32.8,85.3,42.1,30.8,64.7,38.9,28.2,43.2,,8.8,,,21.4,19.3,80.7,68.1
connecticut no_data,11.7,10.5,28.5,80.7,45.1,26.3,67.4,25.3,17.1,38.8,,11.2,,,23.4,16.0,84.0,61.1
delaware no_data,15.1,11.7,33.1,79.4,33.9,31.3,66.0,15.6,15.2,47.2,,11.9,,,20.5,17.6,82.4,56.9
district of columbia no_data,14.3,17.9,30.8,75.3,40.5,33.9,77.0,20.9,16.0,48.1,68.5,11.4,,,23.6,21.5,78.5,63.6
florida no_data,19.1,14.6,32.4,76.9,50.7,27.4,72.6,25.7,21.2,37.2,67.0,10.7,,,23.0,27.7,72.3,58.2
georgia no_data,15.5,13.7,27.7,73.4,31.2,29.3,69.0,27.3,26.8,43.5,65.9,14.4,,,24.6,26.4,73.6,57.4
guam no_data,4.8,9.1,24.6,73.3,44.8,34.1,62.7,26.4,23.9,31.0,63.6,14.3,,,7.7,25.6,74.4,51.3
hawaii no_data,10.0,8.7,23.2,86.2,20.1,24.5,63.6,25.7,23.4,34.2,71.7,11.3,,,13.0,19.9,80.1,52.5
idaho no_data,11.5,9.3,21.6,84.7,31.1,25.0,39.1,30.8,26.4,33.2,61.1,19.1,,,20.7,14.5,85.5,70.5
illinois no_data,11.6,13.5,31.2,83.5,26.3,28.1,69.8,24.7,15.5,48.6,61.9,16.3,,,20.9,23.1,76.9,61.2
indiana no_data,11.8,11.9,30.0,74.8,34.3,35.8,59.5,20.0,14.8,37.8,52.1,11.5,,,24.0,22.0,78.0,58.9
iowa no_data,9.3,12.8,26.8,80.6,40.9,38.7,59.7,24.6,17.6,39.7,70.8,17.2,,,21.2,17.2,82.8,70.2
kansas no_data,10.7,11.9,28.3,79.4,38.5,37.6,60.5,27.7,22.6,41.3,69.9,11.9,,,21.8,17.2,82.8,68.4
kentucky no_data,15.0,13.8,41.6,62.9,38.7,36.3,67.4,25.3,17.8,49.5,,14.9,,,28.7,33.6,66.4,60.9
louisiana no_data,15.1,11.7,35.9,68.3,38.6,36.7,64.3,25.8,22.4,41.1,,10.1,,,24.3,28.6,71.4,63.4
maine no_data,11.1,13.7,29.2,76.4,43.7,40.9,67.3,35.0,30.7,49.1,64.4,7.8,,,25.5,18.3,81.7,66.2
maryland no_data,9.7,8.2,23.3,83.8,40.8,30.4,61.1,34.0,27.5,45.1,63.8,11.5,,,16.4,17.2,82.8,62.5
massachusetts no_data,13.9,12.4,26.6,80.1,42.6,33.5,73.1,21.3,20.2,44.2,67.6,11.9,,,26.7,17.7,82.3,61.6
michigan no_data,15.8,15.5,33.7,76.9,42.4,27.2,74.3,21.6,17.3,41.1,70.0,11.6,,,29.0,23.8,76.2,61.5
midwest no_data,12.2,13.2,30.0,79.2,44.3,35.3,77.9,20.0,17.9,46.1,68.8,13.1,,,24.0,21.0,79.0,63.4
minnesota no_data,8.7,9.7,24.8,86.8,39.8,35.7,70.0,28.6,26.2,43.0,68.8,14.2,,95.8,20.9,14.5,85.5,70.6
mississippi no_data,14.0,10.8,36.0,62.3,41.8,34.7,65.5,25.7,21.1,43.0,68.0,14.8,5.3,95.8,23.9,31.1,68.9,67.8
missouri no_data,12.8,12.9,31.5,75.5,35.9,38.2,76.0,22.2,17.8,50.3,60.1,14.6,5.3,,24.8,22.6,77.4,65.5
montana no_data,10.2,12.1,30.1,79.2,43.0,32.0,61.0,33.9,21.6,41.0,67.5,8.6,,,21.7,18.4,81.6,65.7
nebraska no_data,8.5,6.3,24.9,84.0,43.0,31.2,62.9,26.8,20.9,48.4,68.1,11.0,,,20.3,15.5,84.5,67.3
