,Frequent mental distress,Fall with injury within last year,Disability status,Lifetime diagnosis of depression,Oral health:  tooth retention,Ever had pneumococcal vaccine,Obesity,Colorectal cancer screening,No leisure time physical activity within past month,Current smoking,Influenza vaccine within past year,Binge drinking within past 30 days,Diabetes screening within past 3 years,Social and emotional support,Life satisfaction,Prevalence of sufficient sleep (>6 hours),Self-rated health (fair to poor health),Self-rated health (good to excellent health)
"united states, dc & territories female",12.4,13.6,41.4,19.5,76.7,46.7,30.9,63.5,25.9,14.4,46.1,70.9,11.2,,,65.6,16.0,84.0
"united states, dc & territories male",9.5,8.3,32.0,74.4,48.8,33.5,72.3,28.8,13.9,49.2,8.5,63.0,1.8,95.6,24.9,24.3,75.7,66.1
"united states, dc & territories asian/pacific islander",9.2,6.8,33.6,73.7,44.2,33.9,70.1,25.7,17.0,45.3,68.7,5.3,6.3,97.0,15.8,25.8,74.2,66.5
"united states, dc & territories black, non-hispanic",14.4,10.9,19.4,70.9,36.8,10.7,67.2,21.3,4.7,49.6,71.4,13.3,,,8.8,19.7,80.3,51.0
"united states, dc & territories hispanic",12.4,12.3,38.2,78.4,42.5,41.9,74.0,29.5,20.5,44.6,59.8,1.9,9.3,79.4,17.9,35.6,64.4,56.4
"united states, dc & territories native am/alaskan native",20.2,19.7,31.9,56.3,38.4,36.7,58.4,31.9,13.2,39.7,70.5,8.3,1.3,,21.2,46.2,53.8,62.1
"united states, dc & territories white, non-hispanic",10.3,11.0,47.9,71.8,45.6,41.6,64.4,35.6,24.0,40.5,75.5,7.5,20.9,96.7,29.0,42.4,57.6,52.3
alabama no_data,15.0,12.4,32.3,61.5,48.9,33.2,73.1,37.9,15.2,45.5,58.5,7.2,3.7,96.8,21.3,20.3,79.7,69.5
alaska no_data,7.8,13.3,46.7,77.4,44.9,35.6,68.9,25.2,22.4,49.5,69.9,9.7,,,26.5,34.3,65.7,62.8
arizona no_data,10.7,10.5,30.3,56.6,46.0,38.1,63.9,31.4,14.6,45.0,60.6,6.8,,,15.4,16.2,83.8,69.2
arkansas no_data,14.9,9.9,33.0,83.0,52.2,32.2,65.1,27.3,15.5,47.7,65.2,9.4,,,22.9,24.9,75.1,70.3
california no_data,11.3,10.2,42.4,79.2,50.2,37.0,65.9,26.4,23.0,42.2,67.8,9.2,,,23.3,32.7,67.3,69.6
colorado no_data,7.8,9.4,34.3,61.7,43.8,28.8,72.9,42.2,11.7,48.8,,8.3,,,17.1,28.1,71.9,61.9
connecticut no_data,10.9,9.1,31.8,74.8,47.6,25.9,73.7,22.1,12.1,42.4,,7.4,,,21.1,16.8,83.2,74.2
delaware no_data,10.0,9.9,26.5,83.0,48.2,32.2,77.4,15.4,11.5,55.0,,9.6,,,20.6,17.9,82.1,66.2
district of columbia no_data,9.7,9.8,35.2,80.9,48.4,38.0,78.5,23.0,14.1,54.6,67.0,8.3,,,21.5,18.9,81.1,60.5
florida no_data,13.9,13.2,28.0,76.0,40.1,25.6,71.7,28.2,20.4,53.2,75.2,9.6,,,20.2,21.1,78.9,67.5
georgia no_data,10.9,12.2,32.7,75.0,40.7,27.4,72.5,24.5,18.4,44.1,67.5,11.1,,,20.2,26.4,73.6,65.3
guam no_data,8.8,8.4,36.3,75.5,46.5,36.1,70.0,26.4,14.5,38.2,72.6,9.5,,,21.8,30.1,69.9,61.8
hawaii no_data,8.1,6.9,26.9,69.7,22.1,27.4,50.5,27.4,18.8,39.7,66.8,7.3,,,10.3,32.6,67.4,44.1
idaho no_data,8.6,10.2,22.9,73.5,44.1,22.9,72.3,36.6,11.2,42.1,59.8,15.1,,,12.4,19.3,80.7,54.5
illinois no_data,8.4,8.8,31.4,86.9,52.5,35.6,68.4,21.7,12.3,53.1,62.8,13.5,,,20.8,16.6,83.4,70.1
indiana no_data,12.6,13.2,24.1,82.6,41.4,35.7,71.0,27.9,17.1,45.9,63.3,7.7,,,16.7,20.1,79.9,66.5
iowa no_data,7.1,8.7,34.3,78.7,44.5,36.8,64.6,27.5,18.7,47.7,70.8,12.0,,,23.1,23.3,76.7,64.9
kansas no_data,9.2,9.5,30.4,72.6,46.1,38.3,71.9,27.2,17.2,58.2,67.5,8.5,,,18.4,19.9,80.1,71.9
kentucky no_data,13.4,11.7,32.4,79.4,54.8,40.4,71.4,31.9,15.4,51.6,,13.2,,,22.3,22.9,77.1,73.5
louisiana no_data,12.6,9.7,40.5,77.5,57.2,37.4,72.4,31.3,18.5,54.8,,8.1,,,25.5,32.6,67.4,67.4
maine no_data,10.4,13.3,34.6,64.9,43.6,39.4,71.7,36.6,19.4,54.0,70.1,8.6,,,20.1,34.3,65.7,65.0
maryland no_data,8.3,10.5,25.1,64.5,59.2,32.4,79.0,21.8,13.3,50.0,69.9,6.9,,,23.0,18.4,81.6,70.0
massachusetts no_data,10.5,10.9,28.9,73.2,42.8,33.6,77.2,23.3,12.8,50.1,70.5,8.6,,,18.7,17.5,82.5,63.3
michigan no_data,10.2,12.2,32.1,76.4,49.9,28.0,80.3,20.6,13.1,52.7,73.0,6.6,,,22.1,19.0,81.0,65.9
midwest no_data,9.5,11.2,30.4,77.7,46.3,36.7,76.0,25.4,13.3,42.6,70.3,9.0,,,20.1,19.9,80.1,69.9
minnesota no_data,8.1,9.4,26.5,75.1,49.6,37.1,70.7,27.5,16.3,47.9,71.9,11.4,4.0,96.3,19.8,21.3,78.7,69.3
mississippi no_data,15.4,10.1,37.4,75.9,51.8,31.1,76.3,22.2,13.8,52.2,70.0,10.9,4.0,96.3,18.5,15.9,84.1,73.0
missouri no_data,9.7,14.3,37.5,82.4,44.3,34.5,64.8,37.4,17.3,45.4,62.1,12.4,,,21.2,34.8,65.2,66.9
montana no_data,8.9,12.4,34.1,49.2,55.0,33.8,63.9,33.9,20.8,50.3,61.7,7.3,,,21.7,24.8,75.2,71.0
nebraska no_data,6.7,9.5,29.2,70.6,52.8,24.0,69.2,24.3,17.0,45.3,70.4,8.0,,,19.5,17.6,82.4,74.1
nevada no_data,9.6,7.2,28.6,76.9,47.0,38.5,68.5,24.3,13.6,53.9,,10.5,,,19.3,18.4,81.6,71.5
new hampshire no_data,9.2,7.7,28.0,80.7,35.6,22.9,68.7,29.2,11.8,39.6,,10.7,,,14.0,20.8,79.2,71.0
new jersey no_data,11.8,12.4,27.0,83.6,58.6,32.4,76.1,23.2,14.6,54.0,62.4,8.6,,,19.4,16.1,83.9,70.6
new mexico no_data,12.1,13.4,36.7,75.9,43.8,32.6,68.2,27.8,11.5,43.7,,11.3,,,18.3,24.9,75.1,63.1
new york no_data,11.6,8.4,29.1,75.1,44.3,30.2,66.7,23.6,17.9,46.6,69.0,9.0,,,24.9,28.8,71.2,69.5
north carolina no_data,11.2,12.3,37.9,79.2,38.2,29.5,73.1,28.6,13.0,49.3,72.5,6.0,,,17.0,23.1,76.9,63.9
north dakota no_data,5.6,10.2,28.3,71.8,49.6,32.2,77.0,28.2,19.7,53.2,,10.1,,,23.3,26.7,73.3,67.2
